番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,0,海外鯖につながると同時に変にバグる。フリーズや瞬間移動は当たり前、敗北者タイマンのときは、空から自分が降ってくる視点にころころ変わって、まともにタイマンに集中できへん。まれに自分だけ鯖落ち食らう時がある。デスクトップじゃない自分が悪いんだろうか、？
2,おすすめ,0,今来てるBlackOpsロイヤルはクソ。ヴェルダンスク消したのもクソ。リダージェンスは神。武器やスキンのクオリティは言うまでもなく最高峰。NVIDIAドライバーを最新にアップデートしても落ちることが多々ある。
3,おすすめしない,0,"唐突にゲームが落ちることが多々あります。

Black Ops Royaleになり
・ロードアウトなし
・アーマーのレア度によってTTKが変化
となりました。個人的には好きではありません。"
4,おすすめ,0,"ちくちく！あーまーあーまー！
ちくちく！！あーまーあーまー！！
くそげー"
5,おすすめしない,0,warzone4年目⁉早くdmz2.0出せ
6,おすすめしない,0,TPM2.0を有効にする方法がわからんし調べるのめんどい
7,おすすめしない,0,"最新UPDATEで出撃しようとするところで100%落ちる
ドライバも最新（591.44）にしたが落ちる
整合性チェック後は問題なし？

ロードアウト等で武器のカスタマイズ等ができゲームとしては面白いと思うが、
アップデートでラグが酷くなったりする
マッチングも時間がかかるのが難点

追記
やっぱり出撃の際にフリーズする事がある！"
8,おすすめしない,0,バトロワがプレイできない。
9,おすすめ,0,"このゲームはトレーラー映像のような狭い範囲での激しい戦闘はほぼ起きないですがかなりスリルあるプレイが楽しめます。キャラコンなどが苦手な方でもBOTとプレイヤーが乱れてマッチするカジュアルモードというのがあるため手軽に楽しむことができます。また武器の数もかなり多く（MWIIとMWII、BO6全部で140種類ぐらい？）ライセンス等の関係でモデリングが正確ではないものがあるものの有名どころの武器や運営の癖であろうマニアックな武器もあるのでガンマニアにもおすすめです。（薬室+1発ができない？そういう仕様）
ただ体力が多いため裏取りしてもドラムマガジンとかをつけてない限り返り討ちにされるなんて言うことがよくあるため注意が必要です。"
10,おすすめしない,0,kusoge-
11,おすすめ,0,saikou
12,おすすめしない,0,aldrig i livet usch vad mycket gigggggaagagggbbyhyytteeeeee
13,おすすめしない,0,インストールしたがゲーム開始できない。
14,おすすめしない,0,.
15,おすすめしない,0,うんち
16,おすすめしない,0,"Warzoneをプレイしたく
紆余曲折し何とか１００Gbのデータをダウンロードし、いざ起動！
しかし先ほどダウンロードしたWarzoneがなく再度ダウンロード
なんやこれ早くゲームさせてくれ"
17,おすすめしない,0,Steamで電話番号登録ができない(確認メールが表示されない)ためSteamがクソ
18,おすすめしない,0,ここでチーターを排除できれば、このゲームは完璧になるでしょう 😫
19,おすすめしない,0,huynia!!!
20,おすすめしない,0,"耳ついてない馬鹿の集まりが作ってるクソゲー
Bo6になってから本当に足音聞こえなくなった。
MW3の頃に比べて何もかもが劣化しかしてないから本当に残念。"
21,おすすめしない,0,"大好きだったWarzoneがまともにプレイ出来なくて本当に悲しい。

前作まで毎日プレイして確かに至らない所はあったものの、ラスト5人辺りになった時の緊張感は代えがたいものでした・・・。
アップデートにより、新鮮さや新システムにワクワクしていました。
しかし実際にはフレームレートが以前なら3060tiで120～130辺りでプレイ出来ていましたが、今作から40～50fpsのガタガタ画面で撃ち合いにとんでもなく苦労します。酔います。
ギリギリプレイできるのは練習モードのブートキャンプで45～80fpsです。これでもPvPではもう致命的です。
勿論アクティビジョンにサポートを求めましたが、OSのクリーンインストールやBIOSの初期化を求められました・・・。
なんでやねん・・・。

ちなみにBattlefield2042やDivision2などは今まで通りに動くので、PC側の問題とは考えにくいです。。。

マッチング等も前回からかなりの時間待たされていましたが、今作からクアッド以外マッチングしまっせん。
1分以内に繋がるのはこちらもブートキャンプです。

4人チームだと上手い人も初心者も関係なく組まされるので、相手がリアルチームだとまず勝てません。
私はソロかデュオが好きだったのですが、今作でマッチング一切しないので一回もプレイ出来ていません。

出来るのはクアッドで全MAPか、練習モードのみです。これは１ヵ月経った今でも変わりません。

アクション関連のバグはアップデートされるでしょうが、今回から導入の新アクションに関しても誤爆が多くなり、しゃがみたいだけなのにビルから横っ飛びで飛び降りてしまう事も多々あります。

まぁ結局無料なんで文句言えないんですけどね・・・。
ただ本当にドハマりしていて、今日は勝つぞ、次はこういう戦略で行こうなどと考えて楽しんでいたゲームなので本当に悲しい。

2025/02/04追記
BO6を起動するとたびたびPCがクラッシュする事態に見舞われていました。
メモリやグラボ、電源等や排熱が原因かと色々調査しましたが、BO6起動時なのでこちらが原因の可能性が
超高いです。
2月のアップデートから更に酷くなりPCがブルースクリーンになり再起動を繰り返す症状が、
頻発しております。
これからインストールしようとしている方々は要注意です。"
22,おすすめ,0,めちゃくちゃ面白い
23,おすすめ,0,I slip ♥♥♥♥♥
24,おすすめ,0,this ♥♥♥♥ gay
25,おすすめ,0,ganz ok
26,おすすめ,0,[h1]抜ける👍[/h1]
27,おすすめしない,0,ゾンビだけでも無料でプレイできるなら　おすすめなんだけどな～
28,おすすめしない,0,このゲーム初心者でもある程度やってる人たちの中にいきなり放り込まれるのであんまりお勧めしません
29,おすすめ,0,yea i
30,おすすめしない,0,ゴミ。全然マッチしない。
31,おすすめしない,0,入れるのムズイ
32,おすすめしない,0,永遠にマッチングしないので、そもそもプレイできません。
33,おすすめしない,0,"レビューを書いて書いてもすぐ消されるｗｗｗ

シャドウバンでマルチ出来ない詐欺ゲームです
シャドウバンの対象になるかどうかは運です
運営に問い合わせは出来ないです窓口が存在しません
お金を出す価値はないシリーズです

追記
マッチングに異常に時間がかかる人は残念ですがシャドウバンされてる可能性が大です
運営にチーターと判断され同じくチーターと判断された人同士をマッチングさせるためのサーバーに隔離されています"
34,おすすめしない,0,"gomi era-ga
okiru"
35,おすすめしない,0,"Dieses Spiel macht mich wütend weil, wenn man versucht das Spiel zu verstehen wird man von Cod Profis (Sweater) weg gerotzt und dass Activision nichts dagegen macht dass es Exploituser in diesen Spiel gibt verstehe ich auch nicht deswegen empfehle ich dieses Spiel nicht weiter."
36,おすすめ,0,ファッキン無料
37,おすすめしない,0,"本日のお昼すぎから急にマッチングしなくなりました。
一度削除して再ＤＬしてもなにも変わらず・・・
マッチ検索のPINGが安定せずずっと検索中をひたすらまって４時間…
１回もマッチングしませんでしたｗｗ

どうなってなんだこのゲームｗ"
