番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめ,2,"他の「Flatout」シリーズとは似ても似つかない挙動、操作感。
あまりに理不尽なコースと難易度の「Nightshift」モード。
もろ手を挙げてお勧めできる作品ではないのですが、「Spped」モード（オープンホイール）だけはかなりまともな（納得できる）挙動ですので、バンドルなどですでにお持ちの方は一度試してみる事をお勧めします。
全員ノーヘルで爆走してるのも面白いです。"
2,おすすめしない,0,"シリーズのバンドルがセールだった時に購入。
レビュースコアがご覧の状態であることを踏まえ、怖いもの見たさで買うのはアリ。多分、あの伝説のカーゲームよりは幾分マシなゲームです。
本作のゲームモードは10種類あるようですが、この中ではSpeedモードが一番まともな出来とのことなので、2,3回遊んでみました。
操作性が悪すぎると言われますが、ブーストは直線で使い、コーナーを曲がる際は適宜減速することで最低限走ることはできます。
ただし、ダート(路肩)を走っても一切減速せず、ショートカットし放題であるなど、レースゲームとしては崩壊しています。

他のモードはまず褒められる出来ではないでしょう。全部遊んだわけではありませんが、このレビュースコアなのだからそうなのでしょう。
一応長所として挙げられるのは、この時代(2011年)のゲームとしては高解像度に対応しており、FPS上限も無いことですが、
楽しむことが目的であれば、素直に現代のゲームを買った方がよいでしょう。"
3,おすすめしない,0,プレイできませんでした
4,おすすめ,6,Made me realize how entertaining the actual life is
5,おすすめ,2,"圧倒的な低評価なので触ってみました。とてもシンプルなひと昔まえのゲームといった感じ。本作シリーズのファンからは大不評だったようですが、自分はレースゲームなんてF-zero以来だったので、こんなもんでしょ？と納得しました。さらにリアルライフでの車の挙動にも詳しくないので、ゲーム内の挙動にもそんなツッコミどころがない。プレイ継続が難しいような酷いバグもなさそうだし、用意されたゲームモードの種類もそれなりにある。

だからって長く遊べるとは思えないし、勧めることはしません。ただ、ゲームに限らず、酷評されたものには触れてみるのが趣味という訓練を積んだ人には、触れてみる価値があるかもしれません。"
6,おすすめ,3,"なんでこのゲームがこんなに不評なのかわからない。
入国審査とか、カクテル作ったりするよりよっぽど面白い。"
7,おすすめ,6,"レビューを真っ赤に彩る「圧倒的に不評」の文字。この文字にワクワクしたら買いましょう。
人気レースゲームだったFlatoutシリーズを潰した原因とまで罵倒される伝説の作品、それがこのFlatout3です。

……と言うととんでもないクソゲーが出てきそうで期待させちゃうんですが、実際の所は割と普通の駄ゲーレベル。
笑えるバグなんかもありませんし、PS1やPS2の頃ならこれくらいのクオリティのつまんないレースゲームってよくあったよね、くらいの作品です。
恐らくこの作品がFlatoutの名前を冠していなければ、精々「賛否両論」くらいの評価で落ち着いたんじゃないでしょうか。

間違ってもいいゲームじゃないし、クソゲーとしても中途半端。
とはいえこのゲームを遊んだということは他のゲーマーと話す時のネタにはなりますし、セール時（98円）なら話のネタに買ってみるのも悪くはないでしょう。
つまんない……んですが、先述のように致命的なバグなんかもなく、挙動も車が異様に軽いこと以外は案外普通のレースゲームなので。"
8,おすすめ,10,平成に生まれた史上最強のクソゲーと謳われているゲームですが、10時間プレイして僕は”無”を得ることが出来ました。
9,おすすめ,2,This game has cured my cancer.
10,おすすめ,5,みんなでやろうよ^_^ｂ
