番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,437,"良い所
・かなりマイナーどころのMSを収録しているのでそういう機体を３Dで動かせるのは面白いです。
対戦要素あるので完全再現とは言わないけれど原作を再現しようと
しているところは好感を持てる。

・基本無料のゲームにしてはモデリングも結構頑張ってるし
結構な頻度で無料ガチャを配ってるので
無課金でも色々な機体を揃えられるのはすごくいいところ。

悪い所
・対戦を始めるまでがとにかく大変
 
モードによるが対戦に最低８～10人は必要だから
集まるのに時間かかる。
ピーク時間以外は１０分以上かかることも、
クイックマッチは特に集まるのに時間がかかる。

それ以外にもマッチングシステムに難があり
マッチング中に抜けられるとマッチングやり直し、
機体の編成中に一人でも退出するとなるとマッチングやり直し、
機体の選択を９０秒以内に一人でも完了していないとマッチングやり直し、
など集まるまでもたつく印象がある。
（途中抜けによるペナルティーはあるようだが）

機体を選択し全員完了するとようやく試合開始なのだが
全員完了後
→3秒～15秒後出撃ムービー
→暗転して１秒で試合の時もあれば
２～3分ぐらい後に試合開始の時もある

この時抜けた人がいると試合不成立
こんなに待たせて遊べないのはふざけてる

この時代に暗転ロード3分は長すぎ
まるで2000年代のオンラインゲームのようだ
ここまで長いと抜けたというかフリーズで落ちたと勘違いしてしまう


・なぜかソフト起動後機体選択画面で非常に重くなる、
1秒で1キー入力反映されるかどうかの状態。
10分ぐらい経つとその問題は解消されるが
すぐに遊べないのはイライラする。

戦闘バランス　

・モビルスーツ５００機以上いると考えればバランス悪くても仕方ないのではと思う。
 が高コスト帯になればなるほどできること、つけられる装備の差で
何でもできてしまうため初心者が上級者を倒すことは
現状まずできない状態。
逆転要素もあまりないのでワンサイドゲーム、リスキルされることもしばしば
３５０以下の低コスト帯ならいくらか差が縮むので多少はマシになる

1つのミスからHPを全て削られることもあるあるなので勝てるようになるまでが辛い。
煮詰まっているので今から初めても初心者には厳しいゲーム



このゲームを対戦ゲームとしてプレイしようとすると煮詰まっているので初心者では厳しい。
初心者狩りも覚悟しないと続けられない。
それらを許容できたとしてもマッチングの速度が遅く人も少なく、その割に必要人数最低8人と多めなので
課金しようがしまいがマッチングのストレスはかかる

ただ収録機体数もここまで多いガンダムゲームはそうそうないので
機体のコレクションメインの人には向いているゲーム。

撮影モードがないのが惜しい…"
2,おすすめしない,45,戦闘始まったら画面暗転して何もできなくなる抜けようとするとゲーム終了するかどうかの選択しか表示されないほんとクソ
3,おすすめしない,4,操作がひどい　設定しづらい
4,おすすめしない,1020,"チーターは多いし、修正はちゃんとしないし、トークンはうまくたまらない。
プレイステーションのほうが優遇でsteamのほうが使えない
結局運営はプレイヤーの事をわかってないし、馬鹿にしているとしか思っていない。
プレイヤーの声をちゃんと聞いてほしいし、ガチャの確率を変えてほしい、
結局運営は何もわかっていない。少しぐらい考え直したほうがいい"
5,おすすめしない,1,"たった2試合プレイしただけでこのゲームの評価の妥当性を理解できるほどに渋いゲームだった。
このプレイ時間でも人生の時間を無駄にしたことをひどく後悔する。"
6,おすすめしない,39,好きなゲームなだけに残念。出撃のタイミングで落ちる。何度も落ちるせいでペナルティを食らい1日以上ゲームがプレイできない。運営にメールを送るもお前の環境のせいだとなんだ言うだけで、ペナルティの解除もしてくれない。ペナルティを一生食らうせいで環境を変えてゲームをプレイ→ゲームが落ちる→ペナルティで一日以上できなくなるという悪循環。試合が始まってからゲームが落ちてペナルティを食らうならよくわかるが、出撃してすぐ落ちてペナルティは本当に理解できない。やりたいのにできないから、運営がこのゲームをよくする気がないなら、さっさとサ終してガンオンつくってくれ。まじでこのゲームにお金だすだけ無駄。
7,おすすめしない,2,電源落ちる
8,おすすめ,1643,"ガンダムのアクションゲームやりたい人にはおすすめかな～と思います。ぶっちゃけ私は、今は亡きガンオンから流れてきた身で、PCのオンゲでガンダム動かせれば何でもよかったため、期待値がそういうレベルの人じゃないといけない可能性微レ存()
機体のモデリングについては中々レベル高いと思います。
戦闘についてはたまに回線トランザムニキネキがいます。
レーティングのポイント増減（いわゆるランクマッチ）についてですが、チームバトルアクション()なので、どうしても個人戦績よりチーム活躍度が重視されます。ゆる～く根気強くやっていけばSフラット（このゲームにおける最高レート）には到達できるかと思います。多分きっと絶対()
トークン（ガチャ石）については根気よく集めつつガチャ禁して、カスタムパーツが強い星4、星5ガチャを引くことをお勧めします（最重要ポイント）。強機体で引くとワンチャン下方される可能性もあるので気を付けてください。（下方時のお詫び的なものはありません）下方調整については産廃レベルの場合が大半を占めます。上方修正はかなり日和るんですけどね()
以上レビューです。"
9,おすすめしない,133,"基本的によほど好きでないのならばおすすめできません。
機体の強弱もそうですがユーザーのマナーが最悪、回線が悪いプレイヤーも割と散見されます。
捨てゲーする人もいるし、回線切断するプレイヤーもいます。
そこも含めて許容できるのならば遊んでてもそこまでストレスには感じないかもしれません。"
10,おすすめ,240,機体が飽きないほどあって最高！
11,おすすめしない,183,"ゲームバランスすら調整できない無能運営による廃課金要求ゲー
そもそも、サーバー代ケチってユーザーに処理肩代わりさせてんじゃねーよ
ラグ有利で正常な通信環境を整えれば整えるほど不利になるし"
12,おすすめしない,280,課金者を楽しませるだけのクソゲーです。気分が悪くなるだけなので絶対おすすめしません。
13,おすすめしない,2334,"Steam実装当初は楽しめていましたが、以下の点が不満で辞めました。

・最新のガチャMSを持っていないと、きつい環境（なお持ってても・・・）
最近の機体は当たり前のように、格闘が強蓮撃、格闘属性の投擲、
強よろけなど武装もスキルも優遇されていて、DPやリサチケで入手できるMSでは太刀打ち出来ない。
これもつまらないが、何よりレートが決まり切ったMSしか使用されなくなるので、
戦闘が変わり映えしなくなり飽きる。
登場機体数の売り文句は鑑賞にはいいですが、戦闘には全く反映されません。

・宇宙戦はマッチできない
地上戦が人気なのは分かりますが、宇宙戦を楽しみたいと思っても、
レーティングもクイックもまともにマッチしないため、宇宙戦は絶望的です。
６時間待っても一回もマッチング完了しなかった。

・クイックマッチもなかなか成立しない
地上戦であっても、２時間のローテーションの最初の3分でマッチングしなかったら、
その後は、次のローテーションになるまでマッチングすることは絶望的になります。

マッチングの不満は、一度サポートに問い合わせましたが、
プレイしている時間（18時から24時）が悪いと返されました。
（最もアクセス人口が多い時間帯なのに）"
14,おすすめしない,54,実力差のあるマッチしかしないから初心者は延々とリスキルされて終わる神ゲー
