番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめ,908,iiii
2,おすすめ,1889,沼
3,おすすめ,195,fps下手でも立ち回り次第で勝てて楽しいです！！
4,おすすめしない,3,ランチャーがくそ　馬鹿過ぎ　無料じゃなくて金よこせよ
5,おすすめ,293,mamaよき
6,おすすめ,1024,"このゲーム面白いときはガチおもろいよ
おもんないときマジおもんないけど
でもおかげで情緒不安定にしてくれて凄い振り回されるから楽しいよ"
7,おすすめしない,27,マッチングしなさすぎる
8,おすすめしない,551,"中毒性50%
イライラ30%
快感20%"
9,おすすめしない,334,さようなら
10,おすすめしない,130,f
11,おすすめしない,1230,ソロでも毎回フルパにぼこられるクソゲーなので、友達のいない寂しい人は大人しくアンインストールしましょう
12,おすすめしない,0,"ランクマッチシステムがくそ。すべてを台無しにしている。ユーザーが減るのも納得のゲーム。
どのロールをやってもマッチがつまらないものになるくらいの悪いシステムを採用している。
チャット欄もトキシックしかいないあまりにもおすすめしないゲーム。
大会を見るくらいがちょうどよく、ソロでプレイするならストレスがたまり寿命がへるのを覚悟でやったほうがいいだろう（笑）"
13,おすすめしない,174,ランク調整が終わってます
14,おすすめ,154,ウーヤン、マーヤン…？
15,おすすめしない,224,ナーフや強化が適切ではない。味方をキャリーしたところでいつの間にか死んでいる。面白くない。
16,おすすめしない,42,これって、、、、
17,おすすめしない,171,"まず治安が悪いです。非ランクでも他のFPSゲーのランクの２倍ぐらい暴言、nice DPS (皮肉)等がめちゃくちゃチャットで来ます。初心者だからとかじゃなく、初心者は来るなよって平気で言われます。対戦相手じゃなくずっと他のFPSとは違った意味で味方にストレスを感じます。正直楽しめないです。
次に良いところ、キャラ数が多くて最初から使えるので飽きはしないです。いろんなキャラを試せていいと思います。ただ前に記述したとうり、非ランクで好きなキャラ使いたくても戦犯すると味方からキャラ変えろ等暴言が飛んできます。
私だけかもしれませんがすごいストレスです。ただ試合前にいつも挨拶してると多少は暴言が減ったような気もします。
総評、ゲーム自体はかなり面白いと思います。新キャラがバランスブレイカーだったり、DPSに偏ってたりはしますが、ただ本当にプレイヤーがひどいと思います。フレンドさんとかとフルパで組めたら超楽しいです。"
18,おすすめ,645,tanosii
19,おすすめしない,20,クイック最初の数試合連勝したら途端に格差マッチが始まり、レート解禁の50勝に到達することが困難になる。
20,おすすめしない,2,ランクが壊れているの一言につきる。最高ランクプラチナ5プレイ時間70時間の人が次のシーズンマスターになったりするゲームです。このゲーム程運営の思った通りのマッチングシステムになっているゲームは存在しないでしょう。
21,おすすめしない,179,シオンのエロあるよ（笑）
22,おすすめしない,4,５０勝できなくてランクできません　SSDの無駄なのでアンインストールします
23,おすすめ,31,w
24,おすすめしない,41,ごみ
25,おすすめしない,21,クイックでキレるようになったら辞め時
26,おすすめしない,104,メモリが破壊されました
27,おすすめ,12,おもしろいですよ
28,おすすめしない,33,冗談とか抜きでこのゲーム面白いと思う人いるんですか？正気か？
29,おすすめしない,5,粘着しかいない人生における有限な時間を無駄にするのに持って来いのゲーム
30,おすすめしない,269,OWから逃げました。
31,おすすめしない,170,公式が勝率50%になるよう調整していると公言している最高のゲーム。
32,おすすめしない,5,gomi
33,おすすめしない,115,goみ」
34,おすすめしない,1347,OW2からOWに戻ってから頻繁にクラッシュするようになった。公式フォーラムに問い合わせても何の情報も得られず、クラッシュのせいで、BANされてしまいまともにプレイできなくなっている。
35,おすすめしない,1107,勝率調整やめろ
36,おすすめ,24,akasatana
37,おすすめしない,469,
38,おすすめ,378,面白い
39,おすすめ,330,自分のPCは決して性能がいいとは言えませんがそれでも144fps張り付きでサクサク動くのはすごいです。ゲーム自体も非常に面白くおすすめできます。ロールはタンク、ダメージ、サポートの3つがあり自分はサポート専なのでよかったですがダメージは人気なこともあり非常にマッチング時間が長いです。民度はレビューを見る限り散々に言われていますがチャットをミュートにするなど自衛もできます。
40,おすすめしない,102,"アプデがクソみたいに遅い
私の環境のせいかもしれませんが、ssdに入れてるし他のゲームはここまで遅くないと思います
ゲームの内容は面白いと思います
アンランを除いて"
41,おすすめ,58,OWから逃げるな
42,おすすめしない,92,つまらないのでやめた方がいい
43,おすすめしない,291,TANK GAP GG
44,おすすめしない,316,面白すぎてアンインストールしました！
45,おすすめしない,711,本当に面白い奇跡の神ゲー
46,おすすめ,22,csで1500時間ほどプレイしました、まずこのゲームは負けると死にたくなるほど不快な気持ちになります、ですが勝ったときやキャリーした時は恐らくほとんどの人間が人生で感じる最大の快感を味わえます。ゲームを閉じるたびにもう二度とやらないと心に決めても数時間後もしくは数秒後にはにはモニターにOWと表示されています、低評価レビューをかいてる人もどうせ今もプレイしているでしょう。とにかく中毒性があり気づけば３年もやってました。
47,おすすめ,85,このゲームを閉じたときに幸せな気持ちだったことほとんどない
48,おすすめ,1328,プレステの時からお世話になってる神ゲー、コレが無料で良いのかと思うほどのシューティングゲームです。もちろん課金要素はありますが、スキンに関するものばかりで、最近のありがちな課金したら強くなるだとか、某ゲームのようにキャラクターを解放するために、課金が必要なわけでもないです。私は、いつもありがとうの気持ちで課金させてもらってます。
49,おすすめ,997,どのFPSよりも面白い
50,おすすめ,260,kamige-
51,おすすめしない,829,マッチング遅すぎんねんしばくぞ
52,おすすめ,91,いい
53,おすすめしない,208,"シオン追加アップデートに伴ってクラッシュ頻度が２試合に一回まで増えた。以前のバージョンでは一度も落ちていなく、ゲーム内設定はプリセットで低にしているHDR は不使用。
ライバルマッチのクラッシュで合計８時間ban記念レビュー。
また公式サポートは問い合わせがそもそもできない設計になっているため泣き寝入りするしかない。
このゲームはやる価値がない。"
54,おすすめ,360,最高なゲーム
55,おすすめしない,0,勝てない
56,おすすめ,54,おもしろい
57,おすすめしない,180,ホラゲー
58,おすすめしない,1175,気持ちが冷めるポイントが非常に多く散りばめられたゲーム。
59,おすすめしない,189,なぜかすごくみんな怒っている
60,おすすめしない,88,こんなゲームしてる暇あったら田植えしてろもいらみてえに
61,おすすめ,133,"シンプルに面白い。今までやってきたFPSの中で一番純粋な面白さ。
エイムアシストを恐れることなく、キーマウで充実したゲーム体験ができる。
互いにHPが多く駆け引きが生まれ、エイムする楽しさ･攻撃する楽しさもたっぷり感じる事ができる。
他の要素についても比較的バランス良くできていると思われ、とにかくFPSとしての完成度が高い。"
62,おすすめ,13,くそおもろい
63,おすすめ,459,.
64,おすすめしない,72,Kiriko > Mercy + Moira
65,おすすめ,10,"あまりにも評価が低いのでおすすめでレビューしておきます
battlenetの方で800時間ほどプレイ(ランクは緑です)
仮にも対戦FPSで数少ないGame of the Yearを受賞してるゲームが面白くないはずありません。
[b]一度はプレイしてみてほしい。このゲームは他には絶対に味わえない何かがあります[/b]
ただ、他の人が言っているようにチャットは必ずOFFにしましょう(多分今はデフォルトなのかな？)。
運営もいいとも言えませんがどっかの鬼ごっこゲームとかと比べるとずいぶんマシなので...


[h3]ランクマッチについて[/h3]
楽しく遊ぶならやらなくていいです。このクイックはこのゲームの楽しいところだけを楽しめます。

ランクマッチは(ランク上の)同じ実力の人と対戦できるモードです。[u]ランクを上げるのはおまけ[/u]
まぁ上は建前なので本題を(メンタルを保つには大事)

このゲームはMOBAとFPSの組み合わせと言われる通りとてもチームの連携が重要です、なのでソロで回すと負けたときの原因探しの結果が味方になりがちです。(私はもうそうは思わなくなった)
そのためチームメイトに暴言を吐いたりする人が一定数居ます(日本人として悲しいね)
ランクマッチを楽しく遊ぶには
[list]
 [*]パーティで遊ぶ
 [*][b]絶対に他責せず負けた原因はすべて自責する[/b]
 [*]何も考えずに遊ぶ
 [*]勝ち続ける
[/list]
これらのどれかになると思います。(私は2の人だったけど少数なんだろうなぁ)
これを踏まえると、
上達したい、報酬が欲しい、自分と同じレベル帯の人と遊びたい等の理由がなければこのゲームのランクマッチは遊ぶ意味がないと思います。
[h1]要するにこのゲームはめちゃくちゃ面白くて白熱する！
だ　か　ら　負けるとイライラする！[/h1]"
66,おすすめしない,137,楽しくない
67,おすすめ,892,かみげー
68,おすすめしない,325,"とにかくマッチ格差がひどい
民度とかそんなのどうでもいいくらいです"
69,おすすめしない,2695,"ロールキュー、オープンキューのマッチングシステムが壊れてます。
せめてスタジアムのランクシステムにして欲しいです。"
70,おすすめ,252,"暴言、肢体撃ち、楽しい！！！！！！！！！！！！！！！！！
どのfpsゲームももっと民度悪くなってfpsというゲームは新規お断りにしよう！！！！！！！！！！！！！！！！！！！！！！"
71,おすすめ,440,心臓を捧げよ
72,おすすめ,140,嫌いになりそう
73,おすすめ,68,hizyouniomosiroi
74,おすすめ,65,このゲームはとてもイライラします。ありえんぐらいイライラします。面白くはあるのですがやっぱりイライラします。イライラに耐えられるならばインストールしましょう。
75,おすすめ,72,omoroi
76,おすすめしない,317,パチンコ
77,おすすめしない,139,いろんな意味で時間を無駄にします
78,おすすめ,1962,battlenet版より軽量なのか最適化されているからなのかわかりませんがfpsが安定してでるのでSteam版、おすすめです。
79,おすすめ,9,KANNOKEHAZAMA
80,おすすめ,322,☻
81,おすすめ,636,ひかきん
82,おすすめしない,1250,"マスター３からプラチナへ降格！！
明らかに味方のせいで負けてる試合のほうが多いです。
友達を作り友達とやりましょう"
83,おすすめしない,435,レートおかしいし味方弱すぎるし勝てないしパーティー組まないとごみげーです
84,おすすめ,433,おもんない
85,おすすめ,1380,最高
86,おすすめ,1439,"タンク　ダメージ　サポート　の三つのロールと書いてありますがこれは嘘です
マッチングでロール確定選択をしない限り、ほぼタンク専になります。

その話はいったん置きまして．．．。
ほぼクイック専の感想ではありますが、このゲームは本当に面白いと思います。
キャラを動かしたときの楽しさ、爽快さ、気持ちの良いプレーができたときの脳汁は他スキル系FPS（ﾓﾊﾞ系FPS）のはるか上をいく気持ちよさがあります。
（私自身、出身FPSはC〇Dで、楽しく突ショットガンで快楽を摂取していた中このゲームを遊び始めたところ、古巣には戻らなくなったくらい、このゲームは本当に面白いです。）
一方、気持ちいいだけかと思いきやチームの構成や動き、スキルを吐くタイミングやポジションを考えて動く重要性もかなり高いので、そういった面でも楽しめるゲームであると私は考えます。

ただし、これはクイック専の私が書いたレビューです。
ランクマッチは「楽しい地獄」とも言われているので、本気よりでランクを上げようと思っている方は注意してください。"
87,おすすめしない,1142,"他責が多いです。
自身は間違っていないという、変な自信を持たれた方が大勢います。
民度のせいで、ゲームが不憫でならない。"
88,おすすめ,128,"やるだけ無駄


D.vaはいいぞー"
89,おすすめしない,266,"どういうわけか最近頻繁に試合中にタイトル画面に戻されマッチから外されます。そしてペナルティーを受けてゲームをできなくされます。コレが治らないと最悪アカウントを失うことになりかねないんだけどこれは運営は把握してるんだろうか…
追記
新シーズンになってからさらに悪化しました。毎日1回は起きてる感じでどんどんまともに遊べなくなってきてますね…"
90,おすすめしない,660,"ゲーム内データで約1.000時間遊んでいるプレイヤーです。もしかしたら、やっている人は何処かのマッチで名前を見たかもしれません。
もし、時間と人に対して〇意を膨れ上がらせることをしたくなかったらやらない方が良いです。

同じ実力の者と同じと気軽なカジュアルマッチは相手は強く味方は弱い、または逆のガバガバのマッチングばかりです。

カジュアルはまだ割り切れますがランクマッチは地獄です。

私はシーズン2からSUPから初めて今はタンクをメインにやっています。道中までトロールもトキシックもしませんでしたが真面目に頑張っても味方は何もしない、アンチピックもしないマッチで刺さりもしないOTP達、エイムも判断も立ち回りも終わってるDPSとSUP達のTank Gap GG のチャットが日々、連呼され文句を言うやつは通報してそのランクマッチはキャラ練習や相手チームとエモート遊びをする位に心が壊れました。

更にカジュアルでも実力がガバガバマッチを運営は平等のマッチングだと公言しています。6連敗の後に2勝して4連敗、1勝して4連敗。

もし、本当に公平なお互いの実力が同じのマッチングならプラチナ1かダイヤに届いたかもしれない私のランクはプラチナ3昇格から7段階下がったゴールド5、更にシルバーへの降格保護がついたランクに落ちました。これが運営の言う公平なマッチだというのがタンクのランクマッチの”平等”のマッチングらしいです。

この様に、長々とレビューをくらいに私は鬱憤も限界になり情緒も破壊される程になってしまったので書きました。

OW！辞めよう！

そして、他のゲームをした方が幸せに楽しくなれる！"
91,おすすめしない,425,ゴミ
92,おすすめしない,468,"フルパ(5人)でプレイできないのであれば、おすすめしません。
ソロでプレイするとストレスが溜まるだけです。
ランクシステムがゴミです。
判定でプラチナ以下であれば違うゲームをしましょう。"
93,おすすめしない,338,おもんない
94,おすすめしない,644,"民度があまりにも終わりすぎている。
他にも民度が低いと称されるゲームは数多くあるが、個人的にはこれまでやってきたゲームの中で断トツで最低。

プレイするなら最低でも設定からチャット表示はオフにすることをお勧めします。
いや、そもそもインストールすること自体お勧めしません。
というか、少しでもこのゲームに興味を持って今ここのレビュー欄を見ていることすらお勧めしません。
ブラウザバックしてもっと他の楽しいゲームを探しましょう。"
95,おすすめしない,48,"今日抜くキャラを決めてp〇rn hubをつけるだけのゲームです
足の裏見てるほうがおもろい"
96,おすすめしない,334,みんなでアンランクやってるときは非常に楽しかったがソロランクに潜った瞬間世界が変わりました。そこは地獄だと思ってます。子供の時に親に読んでもらった地獄の本に追加してほしいです、無限ow地獄。別のゲームのおかげで治った白髪とはげもまた再発しました
97,おすすめしない,901,tank gap gg
98,おすすめしない,97,マッチング長いくせにマッチングシステムが終わっている。勝率を調整するんじゃなくてチームバランスを調整してくれ
99,おすすめ,1120,"とんでもないストレスと、ドブ川のような品質のプレイヤーたちに人生を少しずつ壊されていくゲームです。
マゾヒズムに傾倒している方々には大いにオススメします。"
100,おすすめしない,1581,"kusoge-
mattigagomisugi"
