番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,0,日本の天皇である孫笑川は、三国殺というゲームが最も楽しいゲームだと言ったので、彼に低評価を付けなければなりません。孫笑川天皇万歳！
2,おすすめしない,2,加个好友要这么高等级，浪费人时间。违背现代拉人入坑的快节奏
3,おすすめしない,4,これのゲームはバガです
4,おすすめ,9,noooo.....
5,おすすめしない,0,クソゲーム
6,おすすめしない,0,なんだこのクソゲーム？
7,おすすめしない,1,立绘有恋童倾向
8,おすすめしない,1,馬鹿野郎
9,おすすめしない,2,屎
10,おすすめしない,3,狗卡良心大作，现在俩肾都充进去了，人活的好好的，希望努努力再蒸蒸日上
11,おすすめ,0,比怪猎荒野好！撒比卡普空你不会以为加个海龙在水下扔几块石头就™的算是海战了是吧，还有四吗欧米伽，太生气了， 所以我来给三国杀刷好评！ 太好玩啦，必须好评。
12,おすすめしない,1,不好玩
13,おすすめ,0,我玩原神呵呵
14,おすすめしない,2,策划母亲和吴泽丹绑定
15,おすすめしない,0,well·bad
16,おすすめしない,1,今天我摔倒了，很倒霉
17,おすすめしない,1,很好的游戏使我钱包空空
18,おすすめしない,46,垃圾游戏
19,おすすめしない,0,没事干，给蒸来个差评吧
20,おすすめしない,2,1939的kards平衡依托，不好玩
21,おすすめ,0,sb游戏
22,おすすめしない,0,垃圾游戏
23,おすすめしない,48,射了
24,おすすめしない,0,我舍友CQ说不如原神
25,おすすめしない,3,有点困了，准备睡觉了，打个差评
26,おすすめしない,9,我是战争六号全球攻势之消逝的洛圣都雷霆玩家，看你不顺眼，给个差评
27,おすすめしない,19,今日咱心情不佳，看到柚子厨出警察。于是咱给垃圾三国杀打个差评，顺便柚子÷请退群
28,おすすめしない,1,没有什么是很好说的东西，他们apex玩家让我打比较差的评价，所以其实我推荐玩apex。
29,おすすめしない,5,"日本の皆さんへ

なぜ、中国のみんなはこんなにこのゲームが嫌いかと考えているよね

なぜというと、このゲームは 本当にくそだ！！！

課金しないといろいろなヒーローカードが全くゲットできないんだ！！！

もし、どうしても遊びたかったら、このカードゲームの実物を買ってください！"
30,おすすめ,1222,垃圾中的垃圾
31,おすすめしない,71,八嘎
32,おすすめ,1,遊んでから毎日遊んで知的障害を克服することをお勧めします
33,おすすめしない,6,。。。。。
