番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめしない,0,"開始５分　アンインストール
全部作り直してから来い",negative,ボリューム不足,ボリューム・価格,ゲームが短すぎるため、不満を表明している。
2,おすすめしない,0,"[h1] このまま眠らせておくべきだった [/h1]

配信時には失望して書く気にもなれなかったレビューです　忘れたままにするのも気分が悪いのでちゃんと書き残しておきます

元のゲームも方向性迷子の末に競技性の追求をし始め崩壊していったが、こちらはシンプルに出来の悪いPvE専用FPSとして意味不明な蘇り方をしてしまった

挙動は回避動作の度にラグを感じるわ空を飛ぶだけで視点がガクつくわ妙にふわふわしてるわでストレスが多い
武器は弾速が遅くヒット音もしないせいでスポンジ弾でも撃ってるのかな？という気分にさせられる
プレイフィールが悪すぎてそれ以上触り続けることすら自分はできなかった

早期アクセスにしてもせめてまともに自機が動ける土壌だけでも作ってから配信してほしかった
現状では「早期アクセスだから」と今後に期待する事が全くできないレベルの代物
ここから化けることがあるなら、私は化けてから遊ぼうと思います",negative,プレイフィール,ゲームシステム,挙動が不安定でストレスが多く、武器の弾速も遅くヒット音もしないため気持ち悪いと感じている。
3,おすすめしない,0,"旧HAWKENファン絶望の一作。
失ったものはもう戻らない。
そんな気持ちにさせてくれる。

前作はグラボのパッケージになったりして、Nvidiaが推してたのゲームでした。
Nvidiaが入ってPysixやらなんやら言ってました。

そして、後発のTITAN FALLに全てもってかれました。
ロボFPSの技術は全部Nvidiaに持ってかれて、TAITAN FALLになったんじゃないかと勝手に思っている。

こんなことはただの妄想や陰謀論かもしれないね。

でも、PUBGとフォートナイトの件もあるし、あながち妄想じゃないと思ってる。",negative,Nvidia,外部要因・映画化,Nvidiaがゲーム開発に影響を与えたと感じる記述からネガティブな感情が読み取れる。
4,おすすめ,100,"ロボットFPS系統で、自分が求めていたものに限りなく近いと感じた。
APEXシャーシにGIERENとSHERSHEN付けて戦ってます。
パイロットレベルがカンスト…笑
脅威度100以下の機体は全く怖くなくなりました。
めっちゃ飛び回れるタイタンフォールって感じです。
アプデで歩兵踏めるのもいいですね。
てかチュートリアル返して…泣",positive,脅威度100以下の機体は全く怖くなくなりました,ゲームシステム,プレイヤーがパイロットレベルをカンストさせ、敵の脅威を感じなくなったことを表現しているため。
5,おすすめしない,0,gay,negative,gay,その他,「gay」という単語がネガティブな意味で使われているため。
6,おすすめ,76,"サービス開始からこれまでのアップデートでは少しずつですが確実に改善されていて良い傾向だと思っていました。しかし、今回のアップデートで全て灰になってしまいました。
改善されつつあったゲームバランスはほぼ完全に崩壊しています、ゲームをプレイする楽しさよりもストレスの方が大きいです。
また、今回実装された装備の制限も現状では装備も機体も少ないためゲームバランスの崩壊を加速させる要因の一つになっており、良い物とは言えません。
これでも大破した自機の修理費がアップデート前と同じなら、どうにか楽しくプレイする事は出来ますが、結構な値上がりをしており修理費が追い付きません。お気に入りの機体は黒く焦げ、生まれたての小鹿のように痙攣しています。
何度かSCRIPも購入していましたが、このままではもう無理です。非常に悲しいです。
私は必ずしもHAWKEN REBORNがHAWKENに戻るべきとは思ってはいませんが、楽しいゲームをプレイしたいです。
現在の状態では絶対におすすめは出来ませんが、近い将来に期待をしておすすめをします。非常に複雑な心境です。",negative,ゲームバランス崩壊,ゲームシステム,アップデートによりゲームバランスが崩れ、ストレスの方が大きくなったため。
7,おすすめしない,43,"ボーイズ電動ガン並みの弾速で飛ぶ銃しかない世界でふわふわ飛び回る小さい自爆特攻持ち超高火力ドローンに怯えながら資源を集めたりするHAWKENの続編
見た目は昔あった無料TPSの鉄鬼の方が近くてPvEモードがあったらこんな感じかなって雰囲気感でHAWKENの重厚感みたいなものはない
3.0のアップデートから敵が全部強化された
メックは滅茶苦茶硬くなってちょっと火力が上がっただけなのでいいけどドローンが手に負えないくらいの鬼火力になって笑えないメックにやられる事は無いけどドローンに何回もやられて破産した

そもそもメック同士の撃ち合いがしたいのにドローンと歩兵ばっかり相手にしてて何も面白くない",negative,ドローンの鬼火力,ゲームシステム,メック同士の撃ち合いがしたいのに、ドローンと歩兵ばっかり相手にしていて面白くないと感じているため。
8,おすすめしない,1,"前作のHAWKENをプレイしてて好きだった方には残念ながらオススメできません。
あの自分が無骨なメックに搭乗し戦う感じは同じですが残念ながらPvEでストーリー形式なのと
全てにおいて最適化がされておらず快適ではないので楽しくありません。

前作のPvPでちゃんと自分の操作によって楽しむという要素が全く微塵も無くなっているので
別物と考えた方が良いかと。",negative,PvE形式,ゲームシステム,前作のPvPで自分の操作による楽しさがなくなり、別物だと感じたため。
9,おすすめしない,0,"昔好きだったHawken・
懐かしい！人には勧めづらいが復刻しただけで嬉しい
良くも悪くも爽快感が無いからそのへん修正するとまだまだいける",neutral,爽快感,ゲームシステム,爽快感が無いと述べているため。
10,おすすめしない,28,"ver3へのアップデートを終え少し遊びましたので追記します。

旋回時のカメラの重量感や射撃時のエフェクト（マズルブラスト等）の強化、たいして脅威にもならなかった敵達の改善、制限時間の追加等,,,これらにより前verとは結構変わった印象を受けました。

前verにあったクエストは現在なくなりましたが、その代わり各マップに点在する戦利品箱という形で通貨やまとまった資材を得ることができるようになりました。
これについては今までの苦労のわりに報酬がしょっぱいクエストをちまちまこなすよりも容易にお金を稼げるほか資材を得ることができるようになったのかなと思いますが、作業感が一層増してしまったので今後のアップデートでクエストが復活してほしいなと思います。

また前verでは体力の続く限りステージに永遠にいられましたが今回のverでは40分の時間制限が設けられ、残り10分を切ると圧倒的な体力及び攻撃力の敵がスポーンしプレイヤーに対し拠点へ帰ることを圧倒的な物理で促してきます。
通常の敵も強化されており今まではブースターを使いながら敵メックの周りをぐるぐる回って攻撃していればどうにかなりましたが敵の攻撃が割と痛くなったことにより、遮蔽物をうまく使うことが重要になりほんのちょっぴり前作をやっている気になって...いやまだ遠いな？

総じて前verより大きく変わりよくなってきていると思いますがまだ早期アクセスの為粗削りな部分も多くあります、これからのアップデートに期待していきたいですね。

なおアップデート後ガレージに様々なメックが増えたのはいいのですが前verで育てた武器やスラスターが消えてました...こればかりは早期アクセスなので諦めて最初から育てなおしますがアップグレードや武器の購入ボタンを押してもずっとロード中になるバグ？は早急に直してほしいところです...


下記はver2時点でのレビューです
前作HAWKENをプレイしており若干不自由な操作感やコクピット周りのデザインなど武骨なメックを乗り回している感覚が個人的に非常に好きだったのでREBORNが出たと知りプレイしたのですが、旧HAWKENを想像してプレイしてしまうとなんだろう,,,このコレジャナイ感,,,と残念に思ってしまいました
特に他の方のレビューにもありますがコクピット周りの簡素化（これが個人的に残念過ぎたが好みの問題なのでこれはこれでありなのかも）や分かり辛いUI、挙動の不自然さなど不具合や改善点が多いように思えます。

ただ現在、早期アクセスということもあり今後アップデートで変われば面白そうかな,,,?と思います。",positive,アップデート内容,ゲームシステム,アップデートによりカメラの重量感や射撃エフェクトが強化され、敵も強くなっているため、より戦略的なプレイが必要になった。
11,おすすめ,3,"長すぎる人へ：本作は発展途上のため、徐々に形になってきているがまだまだです。やりたいならもう少し待つことをお勧めします。（v0.2.0.0 現在）

以下部分ごとに：

①不評の理由
まず、本作は過去のロボゲー「HAWKEN」とは関係ないです。HAWKENは対人ゲーでしたが、今作はPvE作品のため全くの別物となっているため、無関係と言っています。
そのため、HAWKENの復活を喜んでいたがプレイがままならない現状そのような状態であるにも関わらず課金要素の追加が優先されていることに裏切りを感じたユーザーが多いため、不評の嵐になっているのが現状です。

②悪い部分／直して欲しい部分
ゲーム自体はまだ v0.2.0.0と若く、モーションが存在しないのか、飛ぼうとすると必ずゲームがガクついてから飛行を開始し始めます。ブーストも同じくカクついてから突然向いている方向に加速します。ゲーム自体もサーバー側でHPなどを管理をしているのか、ミッション中はヒット判定とHPの減少にラグが生じています。そのため、ミリの相手にいくら打ち込んでもしばらくするまで死なないといった現象が常時発生します。（パトロール中は快適なため、処理が別？）
また、武器などは課金で買うこともできますが、それ以外は図面と素材を集めて作る形になっていますが必要な素材が多く、一つの武器を作るためにも何回かパトロールに潜らないといけないので、もう少しMK-1ぐらいの武器は作りやすくして欲しいです。

③いい点：
・最新のパッチでブースト移動（スプリントらしい）が追加されて移動が快適になりました。それまではバニホを駆使して走り回らなければならなかったため、大変楽になりました。
・ダメージなども当ててよい箇所・悪い箇所がダメージの色で分かるようになりました。（黒が装甲、白が装甲のないところ、黄色が弱点箇所など）
・正直操作感はHAWKENとは程遠いものの、一人称の方が弱点部位を狙いやすいので一人称の方がいいです。三人称視点は慣れない人向けなのかなと。

まとめ：
あまりいい点も悪い点も個人的にはまだないぐらいには若いゲームだと思うので、年１ぐらいで見返してあげてください。",positive,一人称視点,その他,弱点部位を狙いやすいと述べているため。
12,おすすめしない,2,"UE3からUE4.27に（エンジンだけは）グレードアップした、知る人ぞ知るメックシューターの再誕である。
　いちおう言っておくと、個人的にHawkenというタイトルは「触れる前に死んだコンテンツ」という認識しか持っていないので、オリジナル版との比較はできないことを最初に書いておく。
　F2Pのシングルプレイとして蘇ったHawken Rebornでは企業に雇われた傭兵として、判読不能なテクノ系フォントの看板に囲まれたどこか懐かしい洋ゲー的ディストピア世界を徘徊しながら、自動生成されるクエストをこなしつつ延々と敵をチマチマ撃ったり素材をチマチマとかき集めていく。ゲームプレイ感覚は、かの悪名高いフロントミッション・エボルヴに割と近いものがある。

　少なくとも開発者はSteamユーザーレビューの惨状を把握しているようで、リサーチをしたうえで本作を即死させることなく配信から5ヶ月間のあいだパッチによる涙ぐましい改善を行っている。（オリジナルのHawkenについてどのような感情を抱いているのかは頑なに語ろうとしないが…）
　いまさら10年前のスマホゲーのF2Pビジネス形態に乗り遅れたような本作の開発をいつまで続けられるのかは、神のみぞ知るところだろう。
　ひとまず配信直後のレビューで再三報告されている類の初歩的な不具合は概ね改善されているとみていい。キーコンフィグは未だに存在しないが…
　グラフィック設定はひととおり調整可能で、そこは好感が持てる。ただ内部解像度の上限が100%なのは、すこし奇妙だ。
　
　なお海外レビュアーの間で炎上しているのは「こんなのHawkenじゃねぇ！」という古参ファンの叫びのほか、カットシーンにAIアートを使用したことも理由の一つのようだ。個人的にも、ゲーム製作をクリエイティブな活動ではなく単なるビジネスとしか見ていないような行為は容認できない。セミの抜け殻のようなコンテンツが、スデにSteamストア上にどれだけ氾濫しているとお思いか？
　それと、幸か不幸かこれは「Reborn」であり「Hawken 2」ではない、と思っている古参のファンには残念な報せがある。本作のクライアントは思いっきり「Hawken2.exe」という名前だ。

　たんに無名のF2Pメックシューターとして見るなら、評判ほどの酷い出来ではない。
　面白いかどうかで言えば、別に面白くはない。",negative,AIアートの使用,演出・グラフィック,AIアートの利用を「ゲーム製作をクリエイティブな活動ではなく単なるビジネスとしか見ていないような行為」だと批判しているため。
13,おすすめしない,0,"開発陣は本当に前作HAWKENを遊んだことがあるのか？
新しくしようとしないで単純にHAWKENをもう一回作った方が絶対に売れると思う",negative,前作 HAWKEN の劣化,ゲームシステム,前作 HAWKEN を踏襲した内容だと評価し、開発陣の意図に疑問を呈しているため。
14,おすすめしない,1,HAWKEN2マダ？,negative,HAWKEN2,外部要因・映画化,他のゲームを期待しているため、不満に感じている。
15,おすすめしない,0,？？？,positive,恐怖感,演出・グラフィック,ゲーム内の描写や雰囲気から強い恐怖を感じたため。
16,おすすめしない,1,"Patrolが面白くない…。
ただ広いマップをだーーーーっと移動して、散発的に敵を倒し、死にそうになったら戻る。
別のゲームとして出されていたならまだわかるけど、HAWKENというタイトルだけ使った感しかない。
REBORNする気がないなら名前を使わないほうがいいですよ…。",negative,ボリューム不足,ボリューム・価格,マップ移動と敵との遭遇が単調で、他のゲームとして出されていた方が納得できる内容だと述べているため。
17,おすすめしない,3,"虚無
ゴミ
アプデ無し
過去の思い出を汚された",negative,アプデ無し,ボリューム・価格,ゲームが更新されず、過去の良い思い出が台無しになっていると述べているため。
18,おすすめ,0,"[h1]落ち着いて、まだ早期アクセスゲーム[/h1]
ヒュンヒュン動かない重厚感のあるメック系ゲームとしては面白いはず
無料で遊べる事ですし、遊んでみてはいかが？

前作好きとしてはそのまま変わらずのゲームは期待してしまったが
これはこれで別ゲームとして考えると良いかと思います。",positive,重厚感のあるメック系ゲーム,演出・グラフィック,レビュー者は「重厚感のあるメック系ゲームとしては面白い」と述べているため。
19,おすすめしない,0,"何が悪いというわけではないが、兎にも角にも「HAWKENは死んだ」の一言に尽きる。
これはフロントミッションエヴォルの追加パックだ",negative,ボリューム不足,ボリューム・価格,レビューでは「HAWKENは死んだ」と表現し、ボリュームが足りないことを示唆しているため。
20,おすすめしない,0,画質よくない。ゲーム中に設定いじれない。兵士が豆粒過ぎて見えない。視野角変えられない。マルチない。なんか全体的にスマホで頑張って再現したhawkenみたいな感じ。,negative,画質,演出・グラフィック,画質が良くないという表現から、ネガティブな感情を抱いている。
21,おすすめしない,0,give hawken back to steam,negative,give hawken back,外部要因・映画化,ゲームがSteamから削除されたことを不満に述べているため。
22,おすすめしない,29,"リリース2週間でピーク時プレーヤー数20人台に突入した、という事実が全てを示している。
その理由を記すには余白が狭すぎる",negative,プレイヤー数,ボリューム・価格,プレイヤー数の少なさがゲームの評価を下げているため。
23,おすすめしない,1,"旧HAWKENユーザーには全くオススメできません。
（マルチ無し、選択出来る機体少ない、コックピットが簡素化、回避でワープする謎挙動）
新規ユーザーへもオススメできません。
（見づらい敵撃たれてもどこにいるか分からない、ヒットしているか分からないエフェクト、敵にヒットしてもラグなのか遅れて減るHP）
2時間ほどプレイしましたが、旧HAWKENユーザーほど離れる時間は早いでしょう。",negative,謎挙動,ゲームシステム,回避でワープする謎挙動など、ゲームシステムの不具合が挙げられているため。
24,おすすめしない,6,"戦闘面は現状ライフル・マシンガン系統があまりにも弱い。火力も乏しく、リロードが長く、マガジン容量が強化しても小さすぎて瞬間火力も継続火力もない。
また、本作は小型の敵を遠くから効率よく倒したほうが安全であり、射程長くクールダウンが早く高火力なレーザーを使うのが現状安パイになってしまう。

また素材入手と消費の効率がとても悪い。課金要素があるクラフト面に時間を費やさせるのはまぁいいとしても、その結果初期素材が足りなくて素材入手スポットマラソンを7回ほど繰り返す必要があるデザインは正直評価に値しない。敵からのドロップを見直すべきだろう。

あとはバグ。マップ表示バグが起きると敵の一切の配置が不明になるのはもう駄目だろう。早急に直していただきたい。

最後にラグ。敵に着弾してからHPバーが減るまでにラグがある。

とまぁ早期アクセスではあるが、デザインが甘く、バランスも良くはなく、というのが現状である。不評もやむなしであろう。",negative,バランス,ゲームシステム,戦闘バランスの悪さや素材入手効率の低さが挙げられているため。
25,おすすめしない,0,"[h1]ロボ操縦感は満点[/h1]
鉄騎やタイタンフォールみたいなロボットを操縦している感覚はこれまでに無いレベルで再現されている
バグが無ければ引き続き遊びたい
[h2]改善点[/h2]
[h3]進行不能バグ[/h3]
チュートリアルが終わってから初めてのミッションで、「敵を全て倒せ」的なイベントが有るが、全て倒してもイベントが進行しない
[h3]感度設定の幅が狭い[/h3]
デフォルトは感度が高く、設定を弄ってみたが、最低感度にしても全然変わらない",positive,ロボ操縦感,ゲームシステム,ロボット操作の再現度の高さに満足しているため。
