番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめしない,2,"久々に起動してみたがリリースから何も変わらず

2026/5/27現在800曲で当初よりは若干曲は増えてるみたいですがそれでも
旧作でプレイできる曲でのかさ増しとよくわからん洋楽ばっかりでubiもやる気なさそうなので
今後も期待はしない方がいいです",negative,ボリューム不足,ボリューム・価格,楽曲数が当初から大きく増加しておらず、洋楽ばかりでユーザーの期待を裏切っているため。
2,おすすめしない,4,"まず、リアルトーンケーブルを用意した方が良いです。が、公式のケーブルはAmazonなどで1万数千円します。このRocksmith+だけの為にクソ高いケーブルを買うのが嫌だという人は、ELECOMから1700円弱のケーブルが販売されているのでそれを買いましょう。（注意、そのケーブルでプレイできるのはこのゲームだけです。Rocksmith2014ではプレイ不可です）

楽器とPCのセットアップをしましょう。
普通にゲームをスタートさせて、出てきた通りにやれば大丈夫です。
チュートリアルを終わらせたら、あとは好きに練習できます。
ただ、無料の楽曲は数える程度しかないので、課金したい人は課金しましょう。
（課金楽曲を見ましたが、数が少ないので本音を言うと、課金せずに無料楽曲だけを練習する。or [strike]クソ高い公式版のリアルトーンケーブルを買って2014をプレイした方が良いと思います。2014の方が楽曲の数が多いので、楽曲の分だけケーブルが高いとか考えたら元は取れるかもしれません。） [/strike]
[b]2014の方はライセンスの関係により収録楽曲がほぼ全て消えてる状態だそうです。 [/b]",negative,課金楽曲の数,ボリューム・価格,無料楽曲数が少なく、課金楽曲も数が少ないため、2014の方が楽曲数が多いと述べている。
3,おすすめしない,164,"このゲームは買い切りが出来ずサブスクでしか遊べない前提で見てください。
1週間以上UBIのバグが原因でプレイ不可能期間（掲示板を見るに同様の症状のユーザーが世界中に多数）があっても、サブスク期間の延長などの補填はありません。
（UBIサポートから補填しない旨に回答あり）
1週間ほどのお金をユーザーが損をしても問題は無いと考える企業です。",negative,バグ対応,外部要因・映画化,UBIのバグによるプレイ不能期間に対する補填がない点から、ユーザーを軽視している企業であると感じるため。
4,おすすめしない,4,"半年前に無料体験した時は、使用しているオーディオインターフェイス（UR22C）+ギターで問題なくプレイできていたのに、
年末年始のサブスクリプションの割引をきっかけに本格的にプレイしようと課金して起動したら
「キーン」という音が鳴り響き、メニュー画面に飛んで３秒ほどで強制的にゲームが終了してしまい、
設定を変えるヒマもなくクラッシュでまったく起動もプレイもできません。

課金・価格・おま国による楽曲数の違いや、セッションモードなどの削減などの改悪…
もろもろ評判に難アリときいていましたが、アプデで全く起動できなくなる、はちょっと深刻ですね。

UBIに問い合わせをしてみて、解決策がなければ返金手続きをお願いしようとおもいます。",negative,クラッシュ,ゲームシステム,起動できなくなりプレイできないため。
5,おすすめしない,0,"これはだめだ
あからさまなサブスク誘導と、適当にビデオを並べて作ったクソゲー。。
前作を欠片でも期待しちゃだめですね",negative,サブスク誘導,外部要因・映画化,サブスクリプションの誘導とビデオの寄せ集めのようなゲーム内容を批判しているため。
6,おすすめしない,8,いいコンテンツなのですが、いきなり本日動かなくなりました。対策も不明。お金を払ってるのにこれは酷い,negative,動作不能,その他,ゲームが突然動かなくなり、対応策もわからないため不満を抱いている。
7,おすすめしない,118,"[h1]これじゃRocksmithじゃなくてPopsmithだよ...[/h1]
例えVPNを使って曲を増やしたとしても、""誰がこれをギターで弾きたいんだ？""ってなるようなしょうもないポップとかカントリーソングばっかり。
""Rocksmith""ってタイトルなのになんでロックソングがほとんどない上に全く追加されないんだ？
2014でストーンズとかエアロスミスをDLCで追加してくれたUBIはどこに行ったんだ？
TAB譜で弾けたりピアノも弾けたりゲーム性は2014より大幅に改善されているだけに残念でならない
頼むからロックソングを追加してくれ...",negative,ロックソングの不足,ゲームシステム,ロックソングがほとんどない上に追加されないため、タイトルと内容が一致しない。
8,おすすめ,4,"多少不便な部分はあるがギターベースピアノ初～中級者向け教材として見たらすごくリーズナブルである（サブスクはスマホ版で行うのがおススメ）
曲のラインナップについては前作を知らんから何とも言えないけど著作権と契約の問題では？入ってて当然と思ってる方が怖いよ本当に音楽関係者か？",negative,著作権問題,その他,音楽関係者として疑問視するほどの楽曲ラインナップに不満を述べているため。
9,おすすめ,9,音ゲー感覚でできて良い　ありがとう,positive,音ゲー感覚,ゲームシステム,音ゲー感覚で楽しめる点が評価されているため。
10,おすすめしない,20,"DAWなどの他のソフトではギターの音が問題なくPCに入っているのに、このゲームだとノイズが載ってしまいまともにプレイすることができない。

また、サウンドドライバーが勝手に頻繁に切り替わってしまっているためかよくゲームが落ちる
プレイどころの話ですらない

動画だけ見るための教材に成り下がっており、これならYouTubeでとかわらん
とんだ不良品。返金してほしい。",negative,ノイズとクラッシュ,ゲームシステム,ノイズが乗ってプレイできない状態と、頻繁なクラッシュによりゲームをプレイすることができないため。
11,おすすめしない,3,"日本語でプレイすると2024/9/11現在、曲数が500曲ほどしかなく、サブスクライブ料金を支払ってまでプレイしたいと思わない。
色々と検索してみると海外では数万曲ほどプレイできるそうなのでそのレベルに近づけて欲しい。
Rocksmith、Rocksmith2014からUIが大きく変更され使いにくいものになった居る。
良い評価を付けたいが、現時点では思い当たる点が無い。",negative,ボリューム不足,ボリューム・価格,サブスクライブ料金に見合う曲数が少ないと述べているため。
12,おすすめしない,55,"日本版リリース時点でサブスク購入、曲数が少ないのを一旦飲み込んでプレイしつつ
リリース後、他国版に追いつくようメジャー曲を中心にどんどん増やされるような動きを期待していましたが
1ヵ月に10曲あるかどうか程度のしょぼい追加しかされず、期待するだけ無駄でした。
ちょうどアサクリ弥助の件も大盛り上がりで、日本なんぞ心底どうでも良いんだろうなと思ったのでサブスク切りました。さようならUBI",negative,追加曲数,ボリューム・価格,期待していたほどの追加曲がされなかったため。
13,おすすめしない,37,"アカウントは共通なのに年間サブスクの料金がプラットフォームによって違う。
iOS/Android Appから契約すると約10,000円(これを書いている時点ではiOSでセールしてて約6,000円)、対してSteam等では13,800円。
つまりPCでプレイする場合でもスマートフォンAppから契約した方が安くつく。

あとこれはおま環かもしれないですが、入出力デバイスの設定からまともに設定が反映されない(設定画面の情報と実際の設定が一致していないっぽい)。
https://steamcommunity.com/sharedfiles/filedetails/?id=3293964016
ちなみに自分の症状では役に立たなかったですが、UBIがトラブルシューティング&ベストプラクティスっていうドキュメントを出してます:
https://staticctf.ubisoft.com/J3yJr34U2pZ2Ieem48Dwy9uqj5PNUQTn/1hnMRnohcF0uIm3QUzREGx/678869d293d74c9ae87d6e96f5316e88/RS_ConnectivityGuide.pdf

----
(以下、後日追記分)

Yamaha AG03MK2というオーディオインターフェースを利用しているのですが、接続が不安定です。ASIOとWASAPIが選べるはずなのですが、どちらで繋がっているかインゲームの設定情報が不安定すぎてわかりません。というか繋がらないことも多々あります。

また、ゲーム内容については、学習コースがあるのですが初心者にとっては説明不足で付いていくのが困難です。

Yousicianもお試しサブスクしてみたのでそちらは接続も安定しているし学習コースもこちらよりわかりやすいしで、自分にとっては向こうの方が合っています。",negative,接続不安定,ゲームシステム,オーディオインターフェースの接続が不安定で、ゲームプレイに支障をきたすため。
14,おすすめしない,0,エラー　intone04 あなたの国ではサポートされていません。とエラーがでて起動できないのだが。日本でＰＣ出来ている人、わかるひといますか？,negative,エラー,その他,ゲームを起動できないというエラーが発生しているため。
15,おすすめしない,7,"2014と比べUIは向上している
練習メニューも豊富
正式にオーディオインターフェースに対応しているのもGood
ベースとなるソフトウェアは優秀だと思います。が、
他の方が書かれている通りラインナップが貧弱すぎ、かつ偏りすぎ
現状GreenDayぐらいしか弾きたい曲がない
それも概ね2枚のアルバムからしかピックアップされていない
有名バンドの有名曲を数曲ずつラインナップしてほしい
サブスクやめて2014に戻しても何ら不都合はありません

せめてレッチリ・・・。",negative,ラインナップ,その他,有名バンドの楽曲が不足しているため不満を述べている。
