番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめ,513,サイゲ愛してる。,positive,サイゲ愛してる,その他,ゲームに対する強い愛情表現のため。
2,おすすめしない,7,"毎日チマチマ長期間やれば一応無課金でやれるが、基本課金前提だし少し金を入れたところで意味はない
DCG、TCGデビューしたいなら他の無課金でやれるものを勧める
プレイ時間が全然ないのは元々スマホでやっていたから",negative,ボリューム不足,ボリューム・価格,プレイ時間が全くないため、ゲームのボリュームが足りないと感じている。
3,おすすめ,1034,神げーです,positive,神げー,その他,「神げー」という表現から、作者はゲームを非常に高く評価していることがわかるため。
4,おすすめ,31,最高のゲームです,positive,最高のゲーム,その他,「最高のゲーム」と表現しているため。
5,おすすめ,1169,100万円が当たりません　(´;ω;｀),negative,ボリューム不足,ボリューム・価格,ゲームの内容が期待に満たなかったため。
6,おすすめ,46,aaaaaaaaaa,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
7,おすすめしない,369,沒關西，雪華拉緹卡卡詩黛兒全部丟給別的職業，等一年等到這一坨，愛玩誰玩,negative,期待外れ,ボリューム・価格,他の職業のコンテンツが先にリリースされたため、待ちきれない不満を表明している。
8,おすすめ,88,大塚を少なくとも１００回はボコしたので仕方なく高評価しておきます。,positive,ボリューム,ボリューム・価格,100回以上プレイしたという記述から、ボリュームに満足しているため。
9,おすすめしない,636,運ゲー,negative,運ゲー,ゲームシステム,「運ゲー」と表現されているため、ゲームシステムに不満を感じている。
10,おすすめ,459,バランスもいいし、ランクシステムも工夫があっていいと思う。カードゲームである以上、絶対的なストレスを感じる事はある。,positive,ランクシステム,ゲームシステム,ランクシステムの工夫が評価されているため。
11,おすすめ,9,ドラゴンをアグロで処理するだけのゲーム,negative,ボリューム不足,ボリューム・価格,「ドラゴンをアグロで処理するだけのゲーム」という表現から、ゲーム内容が単調でボリュームが少ないと判断できるため。
12,おすすめ,802,"1億円を配るなら、1万円を1万人に配ってくださる方が私としては魅力に感じます。
あと、2pickルピ払ってもいいからルムマでフレンドとやりたい。個人的に2pickは時々フレンドと遊ぶのにとても丁度いいんです。
あと、ルムマでフレンド限定でもいいから、エモート無限にできる設定あったらもっと煽りあえて楽しそうと思います。
面白いゲムです。",positive,2pick,ゲームシステム,フレンドと遊ぶのに丁度良いと感じているため。
13,おすすめしない,514,弾を追うごとに不快なカードが増えていって面白くない,negative,カード増加,ゲームシステム,カードが増えるにつれて面白くなくなると述べているため。
14,おすすめ,237,煽りなかったら神,positive,演出,演出・グラフィック,「煽りなかったら神」という表現から、ゲームの演出が非常に良かったと評価しているため。
15,おすすめしない,276,ゲームができない,negative,ゲームができない,その他,ゲーム自体がプレイできない状態であるためです。
16,おすすめしない,7,純！？,negative,組織の問題,外部要因・映画化,ゲームの内容ではなく、開発者の組織問題を批判しているため。
17,おすすめしない,291,エクスチェンジチケットが出ない,negative,エクスチェンジチケット,その他,エクスチェンジチケットが手に入らないという不満からネガティブな感情を抱いているため。
18,おすすめ,300,環境によって楽しさが変わるかなぁ,neutral,環境依存性,その他,ゲームの楽しさは環境によって異なるという感想であるため。
19,おすすめ,15,"よくわからんけど面白い
ガチったらストレス増える系のゲームだと思われる",positive,ストレス増える系,ゲームシステム,「ガチったらストレス増える」という表現から、ゲームシステムが意欲的にプレイするプレイヤーを惹きつける要素だと考えられるため。
20,おすすめ,54,"新規、復帰勢には人権どころか存在権すら与えられない神げー。前作に比べ一パックのコイン？必要量が上がって課金者以外はなぜこのゲームをやっているのかわからなくなるくらいデッキが作れない。課金しても環境の移り変わりが肉眼では捉えられないくらい早い、そして環境デッキにはまず勝てず、環境デッキを作るには二桁万円覚悟のものもある。
でも先ほど述べた通り、インフレの悪魔なため次シーズンでは使い物にならないことがほとんど
金に余裕があり親を殺されても犯人を恨まないような壊れた人間がやるゲーム。",negative,課金システム,ボリューム・価格,過剰な課金と環境の移り変わりが激しい点が挙げられているため。
21,おすすめしない,100,"本当につまらないゲームになったと思う。
前作は不要なクラスのカードは売って最低でも1クラスはカードをそろえて遊ぶことができたのが今作はなぜかそういったことができなくなったので復帰したプレイヤーは1シーズンはまともにカードすらそろわない。

そのくせカードのインフレスピードは前作の比ではないので面白くないシャドウバースといったのが私の感想です。

もう少しレッドエーテルを配布するなりなんなりで救済措置がないとまともに遊べません。前作が好きだっただけに本当にカスみたいなゲームだという感想しか出てきません。
リリース前に実装予定といっていた昨日も1年たっても未実装ですしシャドバパークとかいうエセメタバース空間もPCユーザは何の問題もないですがスマホユーザーにとってはいらない機能だと思います。ただただ端末が熱くなるだけです。

サッカーとか余計な機能は本当に誰も求めていないので楽しいシャドウバースをやらせてください。",negative,カードのインフレスピード,ゲームシステム,前作に比べてカードのインフレ率が高くなりすぎて面白くないと述べているため。
22,おすすめしない,29,本格スマホ手帳持ちゲーム,neutral,ボリューム不足,ボリューム・価格,「本格スマホ手帳持ちゲーム」という表現から、ボリュームが期待されるものの、具体的な内容が不明瞭であるため。
23,おすすめしない,283,おもろい,positive,おもろい,その他,「おもろい」という表現から、ゲームを楽しくと感じていることがわかるため。
24,おすすめ,139,神ゲー。理由はエロいから。,positive,エロい,その他,ゲームの内容が「エロい」と評価されているため。
25,おすすめしない,234,"I think this game is so bad.
This is because  only a person who has lucky win in it
I  do not like shadowverse",negative,運要素,ゲームシステム,運に左右されるゲームシステムが嫌いだから。
26,おすすめしない,371,うな重と違い、常に嫌な思いをしながらプレイしなければならない。,negative,嫌な思い,ゲームシステム,常に嫌な思いをするという表現から、ゲームシステムそのものがネガティブに作用していると考えられるため。
27,おすすめしない,657,ドラゴンを考えた人は本当に考え直した方が良いです。カードゲームになっていなくて、上から引いてるカードを適当に投げているだけしかやることがなく、特定のカードを、細い手札の内に引けているか引けていないかの運ゲーになってしまっています。勝っても負けても不快という珍しい体験です。,negative,運ゲー,ゲームシステム,特定のカードを引くか引けないかの運要素が強く、勝っても負けても不快な体験になるため。
28,おすすめしない,138,運営はこのゲームをやっていないとしか考えられないバランス,negative,バランス,ゲームシステム,ゲームのバランスが良くないことを皮肉った表現であるため。
29,おすすめしない,586,,neutral,データなし,その他,レビュー本文が空です。
30,おすすめ,438,ゲーム性は悪くないし飽きっぽい自分でも１年続いた程度には面白い。少しカード効果が行儀よすぎるか？と思ったが１年目だしこんなもんだろ…と思ってる。絵もきれいだし。ただ他のゲームと比べて配布が少ない印象。(仕方ないけど…)あとは課金周りの要素は不満が残るかな…,neutral,配布の少なさ,ボリューム・価格,配布が他のゲームと比べて少ないと感じているため。
31,おすすめしない,437,"第七弾でローテーションが導入されてから一気につまらなくなった
それまではライトに楽しめるカードゲームとしてクオリティが高く遊び甲斐のあるカードがたまにある程度で
まぁバランスはそこそこだったのかなと思えるくらいで以外にもテーマなんかがあって結構楽しかったが
ローテーションの導入で使えないカードが発生したときに急にテーマもクソもないクラス格差で崩壊した",negative,ローテーション導入,ゲームシステム,ローテーション導入により使えなくなり、テーマやバランスが崩れたため。
