品詞,単語,出現回数
名詞,おすすめ,114
名詞,ゲーム,63
名詞,プレイ,49
名詞,ムービー,42
名詞,ストーリー,39
名詞,戦闘,24
名詞,クリア,23
名詞,ff,22
名詞,x,22
名詞,作品,22
名詞,h1,18
名詞,-2,17
名詞,要素,16
名詞,画面,16
名詞,ffx,15
名詞,クラッシュ,15
名詞,パッチ,14
名詞,グリーン,14
名詞,i,13
名詞,バグ,13
名詞,ff10,12
名詞,セーブ,12
名詞,やりこみ,11
名詞,steam,11
名詞,スキップ,11
名詞,オート,11
名詞,版,11
名詞,問題,11
名詞,ミニゲーム,10
名詞,スフィア,10
名詞,発生,10
名詞,システム,10
名詞,シリーズ,10
名詞,シーン,10
名詞,ストレス,10
名詞,好き,10
名詞,レビュー,9
名詞,a,9
名詞,部分,9
名詞,間違い,9
名詞,イベント,9
名詞,キャラ,9
名詞,最後,9
名詞,グリーンバック,8
名詞,rpg,8
名詞,ps2,8
名詞,本作,8
名詞,盤,8
名詞,スクリーン,8
名詞,名作,8
名詞,ボス,8
名詞,バトル,8
名詞,体験,8
名詞,評価,8
名詞,オススメ,8
名詞,公式,8
名詞,ユウナ,7
名詞,フリーズ,7
名詞,プレイヤー,7
名詞,物語,7
名詞,キャラクター,7
名詞,モンスター,7
名詞,当時,7
名詞,説明,7
名詞,方法,7
名詞,敵,7
名詞,戦,7
名詞,音楽,7
名詞,作業,7
名詞,最初,7
名詞,以外,7
名詞,没入,6
名詞,ティーダ,6
名詞,強制終了,6
名詞,bgm,6
名詞,スクエニ,6
名詞,チート,6
名詞,神ゲー,6
名詞,ラスボス,6
名詞,エンディング,6
名詞,育成,6
名詞,修正,6
名詞,h,6
名詞,魔法,6
名詞,まとも,6
名詞,映像,6
名詞,環境,6
名詞,購入,6
名詞,個人的,6
名詞,神,6
名詞,ダメ,6
名詞,絶対,6
名詞,リマスター版,5
名詞,カットシーン,5
名詞,緑一色,5
名詞,倍速,5
名詞,mod,5
名詞,シンボル,5
名詞,寄り道,5
名詞,不具合,5
名詞,不便,5
名詞,エラー,5
名詞,世界観,5
名詞,シナリオ,5
名詞,改善,5
名詞,非常,5
名詞,緑,5
名詞,b,5
名詞,後半,5
名詞,機能,5
名詞,武器,5
名詞,発売,5
名詞,自体,5
名詞,感動,5
名詞,終了,5
名詞,理解,5
名詞,まま,5
名詞,しない,5
名詞,心,5
名詞,わけ,5
名詞,一番,5
名詞,無理,5
名詞,最高,5
名詞,ⅹ,4
名詞,ff9,4
名詞,ザナルカンド,4
名詞,really,4
名詞,story,4
名詞,アーロン,4
名詞,think,4
名詞,攻略サイト,4
名詞,頻発,4
名詞,自由度,4
名詞,一面,4
名詞,ヒント,4
名詞,苦痛,4
名詞,頻繁,4
名詞,セール,4
名詞,現象,4
名詞,難易度,4
名詞,アイテム,4
名詞,操作,4
名詞,済み,4
名詞,バランス,4
名詞,仕様,4
名詞,装備,4
名詞,落ち,4
名詞,成長,4
名詞,メイン,4
名詞,影響,4
名詞,感想,4
名詞,設定,4
名詞,通り,4
名詞,時代,4
名詞,残念,4
名詞,謎,4
名詞,場合,4
名詞,完全,4
名詞,必要,4
名詞,レベル,4
名詞,意味,4
名詞,以上,4
名詞,曲,4
名詞,とこ,4
名詞,森田成一,3
名詞,final fantasy,3
名詞,4gb,3
名詞,七曜,3
名詞,ワッカ,3
名詞,makes,3
名詞,一本道,3
名詞,ジェクト,3
