番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめ,2,"たまに見にくいところはあるのだけど、8番出口は他のプラットホームでも持っているくらい好きです。
映画を観た人も遊んでみると既視感はありますが面白いのでは？と思います。"
2,おすすめ,4,良い
3,おすすめ,2,"真似しようとしても誰も真似できない絶妙なバランスの上に成り立ってるゲーム。
フォロワーは山ほど現れたが、いまだにこの作品を超えるものは現れていない。
金字塔の名にふさわしい。日本史の教科書に載っても誰も文句は言わないレベル。"
4,おすすめ,3,"今更感はあるけど、気になったのでやってみた。
時折ドキッとさせられつつも楽しめた。"
5,おすすめ,1,"[h1] プレイ時間は短い。話題性は長い。 [/h1]

「異変があれば戻る、なければ進む」というシンプルなゲーム。
説明だけ聞くと正直「それだけ？」となるが、
実際にやると数分で自分の認識の方が信用できなくなる。

同じ通路を延々と歩かされるうちに、
「さっきこれ違ってたよな？」
「いや気のせいだったか？」
と、プレイヤー側が勝手に壊れていく設計は見事。

ただし、その“見事さ”はかなり短時間で消費される。
構造が分かれば後は作業に近く、ボリュームを期待すると肩透かしを食らうタイプ。

いわゆる「実況映え」は抜群だが、自分で遊ぶと冷静になるのも早い。
この辺りは良くも悪くもインディーらしい。

とはいえ、「違和感そのものをゲームにする」という発想の勝利は間違いない。
長く遊ぶゲームではないが、一度は体験しておいて損はない作品。"
6,おすすめ,2,1時間ほどでクリア。内容もかなり面白く製作段階をXにて見ていた為応援していた作品がヒットしてとてもうれしい。とても面白いのでぜひやってほしい
7,おすすめ,2,面白い。個人的には適度な難易度で楽しめました。
8,おすすめ,5,"全ての異変を見つけちゃうともう二度とやらないゲーム
でも全ての異変を見つけるまで辞められないゲーム
そんなゲーム"
9,おすすめ,3,"異変探しゲームの元祖的な作品。
今ではルールが広く知られているが、初見プレイ時は仕様が分かりづらく戸惑った。

特に「どの時点で引き返した判定になるのか」が直感的に分かりにくく、
「このおじさんが曲がったら異変があるかも」とついていくと、
引き返した扱いになって出口0に戻されてしまう。

ステージ自体はシンプルな通路なので全体的な難易度は低めだが、
見つけづらい異変もいくつか存在する。
一度見逃した異変が再出現する仕様もあり、
人によってはクリアまでかなり時間がかかる可能性がある。

一方で、環境音や異変に遭遇した際の“ぞわっとする感覚”は非常に良く、
短時間でしっかりとした不気味さを味わえる作品。"
10,おすすめしない,0,"話題になって映画にもなったぐらいなので試し買い。
変わった個所を探すという発想は面白いと思った。
ただ、
・画面の中で、どこからどこまで間違い探しをすればよいのか対象範囲がわからなかった。
・対象範囲が不明な中で、キャラを操作させて間違い探しを１つ１つ見ていく作業の繰り返しに飽きた。"
11,おすすめ,14,saiko
12,おすすめしない,0,おもしろかったです
13,おすすめしない,1,むずいわbk
14,おすすめ,1,"金額の割りに十分楽しめる。
輪コインで買えるものの、人がプレイしているのを見る方が楽しい＆それでこのゲームの楽しみを完結できる（自分でプレイする理由が薄め）なのが少しもったいない所。
ですが、買って自分でプレイすることを強くお勧めします。"
15,おすすめ,2,プライド捨てないとクリアできないぬ
16,おすすめ,109,名物といえばおじさん
17,おすすめ,0,"クリア日: 2024/03/11
👍️"
18,おすすめ,4,めっちゃ面白いです
