番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめ,66,フレンドと一緒にやったりすると面白いしmodなどを入れたりするとさらに面白い良い人狼ゲームです
2,おすすめ,19,一度やるとしばらくやめられない
3,おすすめ,1,"今日のごはん
・豆乳
・サラダチキン（旨塩）
・納豆"
4,おすすめ,190,good
5,おすすめしない,1,人生を壊されました
6,おすすめ,194,普通におもろいが運営は早くバグを修正しろ
7,おすすめ,72,"非常に素晴らしい役職、マップ、仕様があり、毎日楽しんでいる。
youtubeで昔から見ていてついにpc版を購入した。
among usは歴史に名を遺す名作だと思う。"
8,おすすめ,10,"買ったけど一緒にやる友達がいないことを思い出しました。
Twitterなどの野良募集でやりましたがコミュ障すぎてゲームになりませんでした。
自分には向いてなかったです；；友達作ってから買いましょう。
ゲーム自体は良いと思いました。"
9,おすすめ,6,友だちと遊ぶときにするパーティーゲームはアモアスは確実に入るゲームです！面白いです
10,おすすめ,0,"[h1]カジュアル人狼ライクのファーストペンギン [/h1]
マダミスなどで推理慣れしてない初心者には敷居が高く、ごく一部のマニアのたしなむものであった人狼。
しかし！突如として現れたコミカルでキュートな世界観のアクション系人狼！それがAmong US！

アップデートで役職が増えた今でもとにかくすべてが直感的でわかりやすい。
運営さんもプレーヤーの遊びから機能を追加してくれるので好印象。頑張れ。
(スマホ版でもプレイ：100時間超)"
11,おすすめ,1,"面白いです。誰とやるかで面白さが変わると思います。
めちゃくちゃ仲のいい友達というよりかは、あまり詳しく知らないクラスメイト・会社の同僚あたりの距離感の人と遊ぶとちょうどいいかも。"
12,おすすめしない,21,"one of the worst games humanity has ever created. this is just a torture device disguised as a game. nothing about this screams fun unless you like being punished for everything you do. it doesn't matter if ur crew or impostor, you will be punished so by all means stay away from this trash."
13,おすすめしない,0,"記憶にも残ってない
何のゲームなのかも知らない
よって高評価　です"
14,おすすめ,71,めっちゃおもろい。はまる人にははまると思う。
15,おすすめしない,22,mal optimizado se lagea
16,おすすめ,11,現実版人狼ゲームみたいな感じで面白い
17,おすすめ,2,"プレステやスマホ版等で既プレイ。
環境が変わってpc版を購入。

面白さは言わずもがな。"
