番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめ,65,"テラリアっていうゲーム、マジで時間がいくらあっても足りないレベルで狂ってる。( ✌︎'ω')✌︎
ただひたすら地下深くを掘り進めて、拠点を建てて、キャラを強くしていくっていう無限ループが男心をくすぐるんだよね。
ボス戦もクラスの選び方次第で立ち回りがガラッと変わるから、どのスタイルで挑んでも毎回ヒリヒリするようなガチの死闘が楽しめて最高。
装備やアクセの組み合わせなんて星の数ほどあるし、あのちょっと無骨でレトロなドット絵の雰囲気もたまらない。"
2,おすすめ,559,"神ゲー
時間とける
すなわち
神ゲー"
3,おすすめ,244,丁寧にインフレする
4,おすすめ,254,永遠に遊べそうな神ゲーをありがとう。
5,おすすめ,15,神げー
6,おすすめ,235,"本当に神ゲー。こういったゲームが苦手であっても、人生で一度は手にとっていただきたいと思えるゲームです。本編をクリアしたその先にも楽しめる要素は tmod loader によって無限となります。
このゲームに出会えて本当に良かったです。"
7,おすすめ,364,"オープンワールドサバイバルゲームの最高傑作です。
このゲームを始めてしまえば最後、仕事中にwikiを読み漁ることになりますので、
タイミングだけは考えたほうが賢明かと思います。"
8,おすすめ,274,"あまりにも神ゲーすぎて仕事中にも起動したし全実績達成までやり込んでしまった

・マイクラみたいな3Dのゲームは酔ってしまう三半規管弱い民も安心して遊べる
・ちょっとだけやろうと思ったのに気付いたら何時間も経ってる
・2011年に発売されたゲームなのに今でもまだアプデがある
・ソロ・マルチどちらでやっても楽しい
・BGM良すぎ

私にこのゲームを教えてくれたフレンドに圧倒的感謝"
9,おすすめ,66,無限に遊べるわ
10,おすすめ,517,かみげー。それしか言えない
11,おすすめ,60,"普通にボス潰しに行ったり、建築を楽しんだり、採掘だけをしたり、ゴルフしたり、釣りしたり、、、
まあまあ出来ることが多いっていうのが楽しい。
ゲーム内説明なんも無いから最初何も分からなくて攻略サイトか動画見ないと厳しいところはあるけど、少し経てば何すればいいかとかテラリアがどうおもろいかとか分かってくる。

1200円でこのボリュームって割と頭おかしいと思うんだよね（※褒め言葉）
上で言った通り出来ること多いし、ボスを順番に倒してクリアするってだけでも十分楽しめる
隠し要素？とかもあるし一旦クリアした後も暇にならない（人によるけど）
バニラに飽きても大量にあるMODを入れたらまたちょっと違うテラリアになって快感（？）を得られる

でもやっぱりある程度のスペックがないと動作がゆっくりになるからそこは注意してねみたいな

レビューとか初めて書くから意味わかんないことばっか書いてると思うけど
とにかくおもろいから遊んでほしいってことを言いたかった"
12,おすすめ,1098,時間が解ける神ゲーです
13,おすすめ,65,おもろい
14,おすすめ,1125,15歳の時に買ったのに10年経っても味がするゲーム。
15,おすすめ,365,"俺の中で……北のPortalシリーズ、南のleft4dead2、西のSkyrim seと来て、東のTerraria……

と、堂々と言いたいゲーム第一位である。"
16,おすすめ,121,omoroi
