番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,20,教えてくれる人がいないと苦行になります 他ゲーではyoutubeやsnsで情報を集めれば何とかなることが多いですがスト6はなかなか厳しいです だからといってエンジョイ勢はもっと楽しめないのでお金を払って買う価値はないです
2,おすすめ,3025,"極端なMRでなければ、24時間365日10秒以内にマッチングするってだけでおすすめできる。
ゲーム性は運要素多めの麻雀寄りになっていて格ゲーにしてはかなりとっつきやすいと思う。
アルマスからレジェンドの間に何か目標になる中間地点を作ってほしいのだけが不満点。"
3,おすすめ,855,"一番長く遊んだのはワールドツアー。最初は絶対に勝てないと思っていた強敵に勝てるようになると、成長を感じられて嬉しい。
対人も面白い。自分とちょうど同じくらいのレベルの相手とマッチングできるので、僅差で勝ったり負けたりを楽しめる。
初心者からスタートして、試行錯誤の上、マスターに上がれた時は、本当に嬉しかった。"
4,おすすめしない,938,うんち
5,おすすめしない,2061,"ゲームは面白いし作り込みもしっかりあって人気もある
オンラインの対戦環境はすごく充実している
ゲームをより理解すればSF6の世界大会を観るのも面白いし、一つの巨大なコンテンツとして楽しめる
しかし私がこのゲームをおすすめするかというと「しない」になる

なぜならこのゲームは膨大な時間を要すします
ゲームのシステムを理解して自分のキャラの動かし方を覚えて、相手のキャラの動きを覚えて、ボタンを押す状況とタイミングを覚えてとたくさんの時間を費やします
もちろん自分が強くなっていったり、ポイントを積み重ねていくのは楽しいですし、1試合の長さは２分くらいで終わるので、手軽に手っ取り早くドーパミンを得ることが出来る　そんな印象があります

私は2000時間やって1キャラしか使用していません
新しいキャラを覚えて強くなるにはまた多くの時間を消費しますし、やりません
簡単に触って新しいキャラを次々と使いこなしていく人はそもそもスト6以前から格ゲーに多くの時間を使ってきた人です
このゲームは手軽に対戦出来て手軽に楽しめます
何千時間も似たような対戦を繰り返していますが、このゲーム好きでやっているというよりは「人と対戦して勝つのが好き（面白い）」なだけです
そのために誰しもが勝ったり負けたりできるランクキングシステムになっていて、多くのプレイヤーがいます
そして多くプレイヤーはより多くの時間を費やしています
そんな中に入って一緒に楽しむには多くの時間が必要だし、その多くの時間を使えば他の素晴らしいゲームを10本以上やり込めます

このゲームに多くの時間を使うか他のゲームに多くの時間を使うか、私が人に勧めるのは後者です"
6,おすすめしない,128,このゲームは二つの戦い方があって、ス〇ブラのルールで戦うか、ストリートファイターのルールで戦うかの二つの選択肢があって、勿論後者は頭に大きな”？”を浮かべながら”M”というマークがついた敵と戦うことになる素晴らしいゲームです。
7,おすすめしない,74,"ZR押しながらボタンポチポチ
近づいたら投げて弾溜めてビーム撃ってワープこんなに面白いゲームは他にありません！
モダンとクラシック分けて下さい"
8,おすすめ,846,俺より強いやつに会いまくれる
9,おすすめ,36,"今、旬のコンテンツだから、という理由で薦めることはできるが、作品としては未完成であることを考えると、まだ万人に薦めるほどではない。というかまだ私の推しがプレイアブルキャラクターではないことがいまいちお薦めしてないところ。初心者もデタラメ操作からある程度勝てるというのがいいと思う。
昔からストリートファイターが好きなので、一人でも遊べる要素がたくさん、たくさんあって、私はとても楽しんでいる。スト6から新たに遊ぶ人は、それまでのキャラクターの歩みを深掘りするの楽しいと思うし、しなくてもそれなりに楽しいと思う。多くのキャラクターたちは重い運命を背負っているけど、この作品ではそれもすっかり安全なスポーツになってしまったかのように思う。個人的にはもうちょっとヒリつきたいし悲鳴も上げたい気もするけど、今は冷静に遊べて、長く遊ぶにはちょうどいいと思う。ブランカとヴァイパー以外は点滅も少なくて遊びやすい。
かまいたちの夜のコラボがすごくいい。"
10,おすすめしない,277,次回作はモダンとクラシックの非表示設定をつけてください
