番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめ,65,"テラリアっていうゲーム、マジで時間がいくらあっても足りないレベルで狂ってる。( ✌︎'ω')✌︎
ただひたすら地下深くを掘り進めて、拠点を建てて、キャラを強くしていくっていう無限ループが男心をくすぐるんだよね。
ボス戦もクラスの選び方次第で立ち回りがガラッと変わるから、どのスタイルで挑んでも毎回ヒリヒリするようなガチの死闘が楽しめて最高。
装備やアクセの組み合わせなんて星の数ほどあるし、あのちょっと無骨でレトロなドット絵の雰囲気もたまらない。",positive,無限ループ,ゲームシステム,「ひたすら地下深くを掘り進めて、拠点を建てて、キャラを強くしていくっていう無限ループが男心をくすぐる」ため。
2,おすすめ,559,"神ゲー
時間とける
すなわち
神ゲー",positive,時間とける,ボリューム・価格,ゲームが非常に長く遊べるため。
3,おすすめ,244,丁寧にインフレする,positive,ボリューム,ボリューム・価格,ゲームが長く楽しめるため。
4,おすすめ,254,永遠に遊べそうな神ゲーをありがとう。,positive,ボリューム,ボリューム・価格,「永遠に遊べそうな」と表現しているため。
5,おすすめ,15,神げー,positive,ボリューム,ボリューム・価格,「神げー」という表現から、ゲームの内容に満足していることが推測できるため。
6,おすすめ,235,"本当に神ゲー。こういったゲームが苦手であっても、人生で一度は手にとっていただきたいと思えるゲームです。本編をクリアしたその先にも楽しめる要素は tmod loader によって無限となります。
このゲームに出会えて本当に良かったです。",positive,tmod loader,その他,tmod loaderによって無限の可能性が広がる点が素晴らしいと述べているため。
7,おすすめ,364,"オープンワールドサバイバルゲームの最高傑作です。
このゲームを始めてしまえば最後、仕事中にwikiを読み漁ることになりますので、
タイミングだけは考えたほうが賢明かと思います。",positive,ボリューム,ボリューム・価格,膨大なゲーム内容に没頭してしまうため。
8,おすすめ,274,"あまりにも神ゲーすぎて仕事中にも起動したし全実績達成までやり込んでしまった

・マイクラみたいな3Dのゲームは酔ってしまう三半規管弱い民も安心して遊べる
・ちょっとだけやろうと思ったのに気付いたら何時間も経ってる
・2011年に発売されたゲームなのに今でもまだアプデがある
・ソロ・マルチどちらでやっても楽しい
・BGM良すぎ

私にこのゲームを教えてくれたフレンドに圧倒的感謝",positive,ボリューム,ボリューム・価格,「2011年に発売されたゲームなのに今でもまだアプデがある」「ちょっとだけやろうと思ったのに気付いたら何時間も経ってる」という記述から、ゲームのボリュームが大きいことがわかるため。
9,おすすめ,66,無限に遊べるわ,positive,ボリューム,ボリューム・価格,「無限に遊べる」という表現から、ゲームのボリュームが大きいことがポジティブな感情を引き起こしている。
10,おすすめ,517,かみげー。それしか言えない,positive,シンプルさ,ゲームシステム,「かみげー」という言葉から、ゲームのシンプルな面白さに感銘を受けていると推測できるため。
