番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,378,だめだ
2,おすすめしない,3233,ゲームの中身が悪くなるアプデはすべてのゲームであり得ますが、人口がある程度いるゲームをアプデの度に複数人が起動できなくなるタイプのアプデを何度もしてきてるのは、ゲームプレイヤーを客ではなく家畜だと思ってゲームを作っている証拠です
3,おすすめしない,3108,"ダイヤになるとプレマスマッチに入れられます。ダイヤソロ３人VSプレデターフルパ。勝てる可能性は微塵もありません。バトルロワイヤルの参加者ではなく狩りの的役です。ビートたけしもびっくりです。
この状況が数年単位で続いています。開発陣はこれで良いとの結論に至ったようです。数ある娯楽の中でこのゲーム体験よりも下のものを探すことはとても難しいでしょう。"
4,おすすめしない,51,クソげー
5,おすすめしない,793,このゲームはラグすぎてまともにプレイできるゲーム例えばDDOSやロールバックなどやっていて不愉快な現象しか起きずなにが楽しいのか全く分かりませんこのゲームをするくらいなら働いた方が有意義な時間を過ごせると私は思います
6,おすすめしない,141,鯖落ちしてランクポイントが減り、ペナルティで強制的に１０分ゲームできないクソゲー
7,おすすめしない,87,起動させろカス
8,おすすめしない,1358,エイムアシストゲー
9,おすすめしない,1774,s
10,おすすめ,309,a
11,おすすめ,2753,"ゲーム自体は良いが、バグが多い。あとショットガンが一生弱い。

わけわからんところでスタックしたり、時たま弾は抜けるし...
こんなゲームするくらいなら勉強したほうが良い。

でも俺はそんなAPEXがなんだかんだ言って好き。"
12,おすすめ,165,a
13,おすすめ,673,いつやっても面白い。新キャラが強すぎる時もあるが、カジュアルで遊ぶ分に楽しい。
14,おすすめしない,11,勝手に落ちる
15,おすすめしない,3230,思っていてー
16,おすすめしない,1351,♥♥♥♥ YOU
17,おすすめ,377,遊んでみてください。それがレビュー見るよりも絶対良い
18,おすすめ,317,"ゲームは楽しいのですが、（クライアントがチート対策機能を実行か、チート対策認証に失敗しました）　
と出てきてロビーから落とされます原因を知りたいです"
19,おすすめしない,0,課金アイテム全部消されます。
20,おすすめ,2115,"まじでさー、なんでこのゲームをこんなにプレイしてるの？
というかゲームに時間つかいすぎなの、画面のぞき込んで、キーボードかたかたして、ろくな人生送ってないよ？？？"
21,おすすめしない,104,ランク上がりませんから面白くない
22,おすすめしない,1098,bagugahidoi
23,おすすめ,1223,神ゲー
24,おすすめしない,475,
25,おすすめ,1921,good
26,おすすめ,1743,2000時間クソげーと言いながら愛したゲームです。改善点は山のようにありますが、とても面白いゲームです。
27,おすすめ,998,A
28,おすすめ,49,omoroi
29,おすすめしない,480,"妻子持ち詐欺の私によるとJKと一緒にたくさんプレイ!出来ましたが、
このゲーム自体は面白くありません！
ゲイ友達募集アプリは　ゲイミー！"
30,おすすめしない,997,おっぱいまんこまんこちんこ
31,おすすめ,34,頭使わないからいい
32,おすすめ,82,キーマウでプレイする人は覚悟を決めて下さい。
33,おすすめしない,163,中学校3年間をドブに捨てられるくらい最高のゲームだ。
34,おすすめ,895,ぐっど
35,おすすめ,4,紙げー
36,おすすめしない,8,"CSでリリースされてから1週間後くらいからプレイ　オリンパス以降は新マップが増えてるたびクソマップになってて既存のマップもクソマップにどんどん改悪されていく不思議なゲーム　
蘇生と復活の敷居が下がった分キルタイムと機動力が上がっていくのはわかるけど特に機動力上がりすぎてゲーム性崩壊してますよ　だらだら改悪してないでさっさと終わらせてTF3出せ"
37,おすすめしない,19,gomi
38,おすすめしない,162,ゴールド帯なのにプレマス軌道ばかりなのがしんどい
39,おすすめ,17,FPSとしては未だに光るゲーム性　運営さんも最近やる気あります　バグ量産するのはゲームエンジンがフルフルだからなので許してあげましょう
40,おすすめしない,722,"m,n"
41,おすすめしない,430,バグが多すぎ
42,おすすめしない,618,ランク差２でパーティ組めないから楽しくない
43,おすすめ,1023,おもしろかった
44,おすすめしない,254,野良に期待するな
45,おすすめしない,745,PADつそすぎるにょ
46,おすすめ,100,good game 10/10
47,おすすめしない,307,戦闘中にクラッシュすることが多くてゴミ
