番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,88,ゲームとしての作りが雑。ユーザーを不快にすることしか考えていない要素が多すぎる。
2,おすすめ,195,"客観的な観点から見ると、Grand Theft Auto Vはあまり良いゲームとは言えません。例えばチーターのことです。ほとんどの戦闘でチーターに出くわします。彼らの無遠慮な殺戮で、普通のプレイヤーはまったくゲームを楽しめません。Battleyeのアンチチートプログラムはほとんど役に立っていないようですが、ゲームを起動している間は確かに私のRAMを使用しています。それが理解できませんが、尊重は保ちます。  
私の発言が、まだゲームを購入していない人に役立てば嬉しいです！  
独立して考え、善悪をはっきり見極めましょう。"
3,おすすめ,20,wrrr
4,おすすめ,178,めちゃくちゃ楽しい
5,おすすめしない,153,sad
6,おすすめ,17,/////
7,おすすめしない,84,月額のGTA＋に入らないとかなり不便。というかそれのために不便にされてる感ある。
8,おすすめ,134,最高
9,おすすめ,67,自由度が高いオープンワールドでなんでもできる
10,おすすめ,733,プレイステーションの時からやっていましたよこのゲーム。出てくる武器とか車のそろいもまあまあでよかったですが・・・戦争や銃撃の危険がありますからねークリアするためには安全の確保とかですかねー。オンラインではまあまあやられちゃいました・・・。ありがとうおつかれです！！
11,おすすめ,24,３人の視点から進めるストーリーは斬新で面白い！！
12,おすすめ,10,画質、音声、環境すべてが素晴らしいです。
13,おすすめ,115,こうそくどうろをばすでふさぐとたのしい
14,おすすめしない,124,...
15,おすすめ,299,戦車やダンプが空飛んでる神ゲー
16,おすすめしない,86,"金払って購入しても会員登録しないとプレイできないとか話にならん（笑）
だったら無料ゲームにしろよwww
再度ログインもできねーしさwww"
17,おすすめ,34,英語の勉強にオススメ
18,おすすめしない,126,ばいばい
19,おすすめ,65,"普通に楽しいし神ゲー、いつも楽しませてもらってます
たまにバグってイラつくことはあるけども全然全体で見たら気にならない程度です。"
20,おすすめしない,0,"頻繁にセールをやっているからいつか買おう買おうと思ってようやく買った
PS3でプレイして以来13年ぶりくらいか？グラフィックがどれくらい強化されたのか気になっていた
しかし起動したらサインインしろだのロックスターアカウントを作れだの規約読めアンチチート入れろsteamとリンクしろ…シングルプレイをちょっとやりたいだけだったのに物々しいし面倒くさすぎる
返品完了。"
21,おすすめ,105,おおおおおおお
22,おすすめ,38,love
23,おすすめしない,700,プレイする必要は無い
24,おすすめ,229,オンラインの方の治安はちょっとあれかもだけどグラフィックもいいし、いろいろ要素があってこれが１３年前のゲームだと思わないぐらい完璧。（このエンハンスト版は去年からだけど）
