番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめ,157,今から始めるならバグもなく、素直に楽しめると思います。印象がいいゲームではないと思いますが、現在、実情はそこまで悲惨なものではありません。
2,おすすめ,233,"なんやかんや賛否両論な今作ですが、今作で初めてまともにモンハンに触れた 1初心者プレイヤー（弓）の感想です。幼少期に2G（？）に触れ、最初のモンスターも倒せず辞め、以降アクションゲーそのものが苦手になり今に至ります。

良いところ
・グラフィック綺麗
・キャラクリ・着せ替えが豊富
・回避が気持ち良い
・ダメージが数字で出るのでやってる感がある
・サポートハンターが優秀
・ファストトラベルある（モドリ玉いらない）

気になったところ
・他の人がいっぱい上げてる＋思うことが多すぎるので省略

ちなみに、発売日にフルプライスで買ったことに関しては後悔していないと言えば嘘になりますが、「あの」モンハンを友人と一緒にプレイできたという点でプラマイゼロです。ただ、初期は噂に聞いていた「集会所」がなく、思っていたマルチプレイとは程遠かったです。かつ、初心者の自分でさえサクサク進めていたので熟練のプレイヤーにやりごたえあるの？という印象でした。あと重すぎて最低設定にしたうえで30FPSとかでやってました（今はマシになったそうですが当時のPCが手元にないのでわかりません）。

いくつかのアプデを終えたいま、初期の頃よりも随分と遊びやすくなりましたが、フレンドはもうみんなやっていません。今の状態でリリースしてくれていれば、きっともっと良い体験になったんだろうなと思います。これを機に過去作、そして今まで避けてきたアクションをプレイしようと感じさせてくれるゲームでした。"
3,おすすめしない,19,"俺がやりたかったモンハンじゃない
小さい頃からモンハンが好きでよくあそんでた。初めてワールドを遊んだときのワクワクがすごかったので、そんなワクワクを期待してた。ネタバレも極力回避した状態でいざ始めたらなんだコレ感。俺は好きにクエスト受けて好きに散策して好きにモンスターぶっ殺してゆったりやんのが好きだったのに、待ってたのストーリー進行一直線のRPG。俺はこれ何やってんの？ってすごい感じた。いちいち進めるために操作をほとんど受け付けないセクレトタクシーの会話パート。ぶっちゃけストーリーなんか最初はどうでもいいからさっさとぶっ殺しまくりたいのにいちいち遅い。そういうRPGが好きな人はいいんだろうけど、俺はなんか違うな～って萎えた。"
4,おすすめしない,340,"最終アプデ後に購入し使用武器＋ライト各属性の黒触主の厳選を終えるまでやった感想です。
全体的にプレイヤーに対して不便を強要する作りになっており細かい挙動やUIがほんとにひどいです。
発売当初はさらに酷かったことを考えるとあの荒れようにも納得できます。
かなり期待大だっただけに反転アンチをこれだけ生んでしまったこの忌々しき作品を人にお勧めできるわけがありません。"
5,おすすめ,672,"発売日に購入して今日まで遊んでいるものです。

「MR発表されて気にはなっているけど、やたら不評だから買うかどうか迷うな…」と思っているそこのアナタ。

現在では過去に取り沙汰された異常な高負荷やエンドコンテンツ不足などの大きな問題はおおむね解消されており、むしろMH無印作品としてはかなり遊びごたえのある良作品となった印象です。

また、今作はモンスター側の動きにノーモーション突進やバックステップといった隙つぶし要素が比較的少なく、さらに相殺やジャストアクションといったハンター側の取れる択も多めとなっているので歴代でもかなりアクション面が楽しい作品となっています。

個人的には「意外と作風が尖ってはいるけど評判ほど悪くないし、むしろMRへの期待値はかなり大」といった印象です。
たまにセールもやっていることですし、MRまでにこの作品を手に取ってくれる人が一人でも増えることを祈ります。

さあ、アナタも私とともにお守りとアーティアを回すのです・・・

そしてMRに備えるのです・・・"
6,おすすめしない,3,"おすすめ出来ません
今後絶対的な安心が無い限りアプリ自体を開くことは無いでしょう。
ワイルズ発売からおよそ一年が経過し様々なアップデートがなされ改善がなされたはずのワイルズですが
非常に残念ながらゲームとして、そもそも商品として不出来でお粗末としか言えません。
何故そう思うのか？高々４時間程度しかプレイしてないニワカが何を抜かすのかと思う方もいるかもしれません。
始めに言っておきますと私はモンハンアンチではありません２G、３、４、４G、X、ＸＸ、ワールド、ライズをプレイしたモンハンが好きな一般プレイヤーです。
半額セールのタイミングで購入し意気揚々とプレイしたワイルズはsteamのレビュー評価とは正反対に純粋に強化されたグラフィックとアクション、そしてよりリアルになったモンスターの挙動、没入感のあるストーリーでとても楽しかったです、ですが問題が生じました　”ゲームが起動できない”　バグですねしかしこの程度ならPCゲームをプレイしていればよくあることですプレイヤーによって動作環境が異なるのですからこの程度バグがあるPCゲームなど珍しくもありません。
おとなしく再起動するなりグラフィックドライバを更新すればたいていは治ります、実際治りました
さぁ！意気揚々とプレイし始めて数分後　”PCの電源が突然プツリと落ちました”　
？？？？？？？？？？
めっちゃ焦りました。
スタートボタンを押しても反応無し、コンセントを差し直してようやく起動しました
データも一応大丈夫そうでした
私のPCのスペックはIntel Core9、RTX 3080 Ti　最上とは言えずともそこそこ高スペックなPCだと思います、何せ40万しましたから（PCスペックの強弱は正直わからない）
私はPCに関して大した知識は持ち合わせていませんが、ゲームをしていて突然電源が落ちるなどがPCにとって非常に危険であることはわかります。
私は危うく5000円を購入し40万をゴミにしかけました、モンスターハンターワイルズを遊ぶということがこのようなリスク背負うことだったとは夢にも思いませんでした。
私はモンスターハンターのファンです、1年が経過しやっと　”ゲーム”　になったと思ったモンスターハンターワイルズはマルウェアでした。
DLCアセンダンスがリリースされても様々なアップデートがなされても、きっとプレイすることは無いでしょう
信用は地に落ちました、これ以上被害者が増えないことを願ってこのレビューを残します。
参考になってくれれば幸いです。

モンハンを遊びたかったなぁ"
7,おすすめ,90,今からやるなら全然おすすめできる。コンテンツ量は上位作品ならダントツだし、グラフィックも素晴らしい。うーんてなるところはゼロじゃないけど、G級前の作品の中では最終的に一番の作品になったかなと思う。
8,おすすめしない,489,"集めた素材で誰を倒せっちゅうねん。
モンスターが少なすぎる。"
9,おすすめ,550,"老害ハンターのレビュー　
プレイ時間:540時間　HR:999

【良い点】
・グラフィックが美しい
　さすがのグラフィックと言わざる得ない。
　特に、豊穣期の緋の森の美しさは、海外ゲームによくある高グラフィックに追いついているレベルであり、
　かつてのモンハンしか知らない人は、度肝を抜かれることでしょう。

・リアリティのある挙動、音
　上記のグラフィックと合わせて、世界観への没入感が凄まじく、子供の頃から描いていた理想のモンハンと
　いった感じ。

・集中モード
　今までには考えられなかった、攻撃モーション中にハンターの向きを変えられる神機能。今後のモンハンで
　も続投してほしいと思うほどの便利さ。これに慣れると、過去作モンハンで攻撃の空振りを連発します。

【何とも言えない点】
・どうでもいいアプデ
　「〇〇の宴」という、期間限定のお祭り？期間のようなものがあり、テーマに応じたチャーム、ハンターの　
　モーション、チャットのスタンプ、などなどが追加されています。
　追加モンスターとクエスト以外は別に求めてないし、最初から実装しておけよというがっかり感。というの
　も、多くの人が楽しみにしているであろう大型アプデの予告番組では、これらがほとんどの内容を占めてお
　り、はっきり言ってモンスターそっちのけ。これらを開発するくらいならモンスターの一体でも復刻してく
　れよといった感じ。

・なぜか変更されている先行入力
　私はモンハンワールド、アイスボーンを長くプレイしており、今作はその正統進化版だと思っていました。
　リアリティのあるモーションを再現したいからか分かりませんが、先行入力のタイミングがかなりシビアに
　なっており、ハンターのモーションが不発になることがしばしばあります。なんで下手に調整しちゃったん
　でしょうかね？

・上限が決まっているキャンプ
　なぜ上限を決めているのか、理解できません。せめて一度発見したキャンプ地候補にはファストトラベルさ
　せてくれよ・・・。

【悪い点】
※ここから先は、上の何とも言えない点が些細な不満程度に感じるレベルの欠点となります。

・高すぎる要求PCスペック
　誰しもが、「綺麗なグラフィック、ヌルヌル動く画面」を想像します。しかし、PCでこれを叶えるとなる
　と、相当のスペックを要求されます。PCで本作を始めたい方にはPS5Proを買うことをお勧めします。ワー
　ルドでも綺麗だったのに、さらにハードルを上げた結果、デバイスが追い付かないという致命的欠点が生じ
　てしまいました。

・全体的に暗すぎるマップ
　良い点で紹介したグラフィックの良さですが、緋の森以外では季節（豊穣期、異常気象など）の違いがあん
　まり分かりません。
　特に氷霧の断崖や竜都では、何が豊穣期で何が異常気象なのか全くわかりません。モンハン2の季節システ
　ムをうまく使いこなせていないといった感想です。
　また、全体的にマップが暗いせいで、陰鬱とした印象を受けるのも良くない点です。結果、モンハンワール
　ドよりもマップが汚く見えることとなってしまいました。

・セクレト移動による弊害
　過去作のモンハンでは、ハンターが走ってマップを移動するため、半ば強制的にマップの細部を見ることに
　なるので、「この景色がもっとリアルになったらなぁ・・・」という感想を抱くことがあったかと思います
　が、今作では移動はセクレトで行うのでマップの細部を見る機会がほぼありません。開発が力を入れたとい
　うマップの細部が、日の目を浴びることがほぼないのです。

・「たこしあ」を開発が邪魔している
　かつてのモンハンでは、クエストに出現するメインモンスターの他に、格上のモンスターがいたりして、そ
　れを頑張って倒すことで楽な装備を構成することが出来ましたが、本作ではほぼできません。また、メイン
　モンスター以外は「対象のモンスターではありません！」とNPCに諭される始末です。ハンターの自由なハ
　ンティングライフを開発が語っておきながら、かつてないほどに自由のない狩りを強いられます。

・やりがいのないメインクエスト
　もし本作をプレイ済みで、「なんかメインクエストのやりがいが少ないな」と感じた方は正しいと思いま
　す。というのも、過去のモンハンでは強いモンスターと戦うために武器を作ったり、防具を新調することが
　ハンティングサイクルに組み込まれていました。本作のメインクエストではそれがほぼ必要ありません。下
　位でメインクエストをほぼ完結させるという構成＋初心者にも優しい難易度のせいで、下位時点で装備を更　
　新する理由がほぼないからです。仮に更新したところで「これって強くなったか？」という、誤差レベルの
　話です。また、スキルの不自由さも相まって魅力的な装備がほぼないのです。

・ゴグマジオスについて
　私はモンハン４、４Gをプレイしていなかったので、ゴグマジオスとは初めての対戦となりました。アプデ
　が来る前に４Gの動画を漁り「これがゴグマジオスか、どれだけ強いんだろう」と心ワクワク。第４弾アプ
　デの映像を見返して、期待は最高潮。楽しくないわけがない。
　そう思っていた頃が僕にもありました。
　最終エリアに入るとほとんど飛び続けているゴグマジオス。飛び道具（武器ですらない）で空を狙い続ける
　ハンター。落ちてくる地雷重油。結果、クエスト時間は長いのに楽しくないし、戦闘時間がびっくりするほ
　ど短い、シューティングゲーが完成してしまいました。本作初の古龍ということもあり、がっつり殴り合え
　るのを楽しみにしていたのですが、完全なギミックゲーとなり果ててしまいました。

・巨戟武器について
　本作最後のアプデの目玉のエンドコンテンツとなります。
　とあるモンスターを周回し、自分の組んだ防具構成にあった武器を錬成し続ける沼要素となっています。
　これ自体は好きなのですが、問題は周回するモンスター。そう、ゴグマジオスです。もう何も言わなくても
　お分かりですね？
　
・特に深堀されないキャラストーリー
　なんだろう、特にストーリーに関係のない、キャラクターたちの過去を匂わせておきながら、特に何もあり
　ません。これ要る？せめてワイルズ内でサブクエストの一つでも用意してくれればいいのに・・・。
　
・高すぎる体力、スピーディすぎる戦闘
　これは完全に個人の主観なので、合わないと思った方は見なくていいと思います。
　過去のモンハンではモンスターの動きを理解し、回避し、隙を狙って一撃を叩き込むという戦いが主流であ
　り、それがモンスターハンターの狩猟体験だと感じてきました。今作では常に攻撃し続けることが前提に置
　かれており、ガード、カウンター、ジャスト回避が前提の難易度となっています。結果、常に忙しない動き
　をし続ける必要があり、ゴッドイーターをプレイしている気分です。大剣は常に相殺、太刀は常にカウンタ
　ー、双剣は常にジャスト回避、といった具合です。これはこれで爽快ですが、モンハンか？と言われると
　NOと言わざるを得ない。その辺はサンブレイクのほうが洗練されたアクション性だったと思います。

・アプデ商法について
　アップデート自体には反対ではありませんが、あまりにも期間が長いのと、追加モンスターが少なすぎると
　いう点です。ワールド時代から言われていることですが、本作でも改善されていません。
　第一弾アプデなんて、タマミツネ（追加）と歴戦王レ・ダウだけで3か月ですよ！？何を楽しめっていうん
　だ・・・。
　本当に今のモンハンは、アップデートがすべて終わった後に買うべきだと心の底から思います。
　私は発売日に買いましたが、そこからの一年間はデバッガーとしてプレイしていたに過ぎません。
　今はかなりの改善アプデのおかげで相当遊びやすいゲームとなりましたが、発売当初はひどかったもので
　す。この不満を書いてしまうと、100万字書いても書ききれないくらいの不満が出てきますので書かないで
　おきます。

【総評】
ここまで酷評しておいてなんですが、今からプレイする分には十分良ゲーといったところでしょうか。
ただし、「MRまで待てるよ！MRから本腰を入れたいよ！」という方は、やはりMRの最終アプデが出尽くすのを待つことをお勧めします。

以上、老害ハンターのレビューでした。"
10,おすすめしない,108,最近のカプコン作品は新しいものばかり取り入れようとして、ファンが期待している内容を見事に外してくる。ワイルズに関してはワールドを継承しつつブラッシュアップすればいいものを、効率よくし過ぎてゲーム自体が簡単に遊び終わってしまう。このゲームのために最新のPCを購入して一か月もせずコンプリートしてしまってやることが見つからない。アップデートで新しいモンスターが追加されてもすぐクリアできてしまって物足りない。もっと時間をかけて長く遊ばれるような作品にしたらよかったのに。もう十分映像は奇麗なんだからスペックは求めていない。そうじゃなくて内容を充実させてほしい。次回作は私はとりあえず買わないと思う。
